nuTX,nuFL,T1,T2,F1,F2,llik,theta
0.1864389511969227,0.012080109574594482,0.020687930035321208,0.01004341459372272,0.253676917722514,0.6220705118150637,-340849.71245158475,2604626.5785619523
3.7846015231153918,0.12638721604943393,9.959411393080167,0.10915377135128213,0.5410921770192135,0.35795925887795693,-438818.6946403745,627962.8847145488
0.7672225525478941,0.13391466632193003,0.010298584165410622,0.10312331717269063,0.31422819220556425,0.6781093921345941,-497715.9765484063,2151223.0834783358
1.4467557943742986,0.04050427271006797,0.013028824725670714,0.04613766554489798,0.3180876338348339,0.45223999869273945,-486946.1981921812,2120963.427056741
1.9152654791427866,0.14802709208836387,8.407632273822967,0.1302174190863333,0.34354595327246396,0.4764558902070938,-451035.8478013427,1119262.8267778843
0.38715461968077586,0.01220229836995758,0.07963402912324564,0.010034581792358948,0.3457480673696673,0.6257690902129582,-324152.4175421127,2656918.488674311
0.5439309410920344,0.012010449890264932,0.3154710478935099,0.01001229453393005,0.43951783360569285,0.6065354988349106,-318058.0792302793,2939439.410209113
0.3654564165163835,0.01285028981097861,0.4632334203424557,0.010436246236864557,0.4430259780753981,0.6236923909509317,-321129.6996213993,4320804.806514064
1.8107067666475274,0.02802072864863604,9.820449149946855,0.02234572941851691,0.4991616185651506,0.644988474081874,-346085.64967868483,1262994.6598343651
1.1583708001171886,0.08488667567903677,0.8059369645668555,0.05842547202874709,0.5184476228235341,0.6682692504361925,-409635.91546454583,2040366.2813696417
0.4245304306566608,0.10534320188779486,0.010053597456959584,0.10325799364689293,0.5224250105307191,0.6984058519827179,-756793.301797466,2471743.796793056
0.21979361103977305,0.013025334174988842,0.015052229699503974,0.01024516100073012,0.4440038696662346,0.6681137826269479,-339556.8509153506,2535976.192020445
1.803079976172338,0.0762128036380712,0.011462477442132345,0.057965165534356086,0.45966906921169787,0.6694288858620729,-400140.8462061483,2126480.3836633447
0.43181798765379553,0.012269688423094968,0.11171046216068138,0.010046089947442065,0.3430516680306468,0.6273747237471915,-324005.4570065376,2695346.9429411036
0.13663439318165574,0.01288088134594801,0.2902436039246378,0.010225799334096737,0.34709416646278574,0.6931068806274633,-363206.30646985467,9757268.885611292
0.42829215836839063,0.012300792154829663,0.07257336639410551,0.010156850179039665,0.4505389971178521,0.6100888635015295,-320687.5141652326,2607291.8626858345
0.23012139293030306,0.01278949184530867,0.03169520416803349,0.010515906045710816,0.27938258454353654,0.631353677283008,-335748.31908419495,2639135.2034569983
0.9691441956651715,0.09034475617225954,3.6632079321451085,0.0360694558786496,0.5395488558329523,0.5259106951862351,-644738.3785307577,2281028.4675035486
0.16573371663466793,0.014114918923461178,0.014801963534579335,0.010528949152598808,0.2467496514509902,0.6581020756326335,-350402.5817045241,2566722.3609693632
