Sim,F_true,Nu2_true,Nu2_est,T_true,T_est,M21_true,M21_est,Theta,Loglik
1,0.5,0.1677919885907259,0.1,0.08988616535868305,0.1,0.09298064246461323,0.5,0.5908323489793285,9957.446879715315,-5480.012803034966
2,0.5,0.24580567942762352,0.1,0.10032702072140796,0.1,0.09972227166749126,0.5,0.463362485033394,9908.851511763378,-5480.302447796488
3,0.5,0.3275024071175217,0.1,0.10619805162141083,0.1,0.11011135271895967,0.5,0.5066027249900039,9880.963802606117,-5488.608493365537
4,0.5,0.27561408150584205,0.1,0.10369025602157896,0.1,0.10608810054300512,0.5,0.5852920655832021,9970.423870970304,-5494.878555705231
5,0.5,0.04819731393276207,0.1,0.0926086118131469,0.1,0.09338213342035268,0.5,0.639108060118481,10004.86612545253,-5509.99559803473
6,0.5,0.19029917056293233,0.1,0.10366014666858667,0.1,0.10479869489840453,0.5,0.5884555745125226,9893.1401902534,-5463.373110344786
7,0.5,0.20508669457281234,0.1,0.09761451642159939,0.1,0.0961563546530109,0.5,0.5821291851096031,10037.425810508666,-5493.6615445099305
8,0.5,0.15040479352972402,0.1,0.10281824475418518,0.1,0.10685308324871669,0.5,0.41778695545735534,9951.831517806366,-5489.554287282574
9,0.5,0.23622355148148186,0.1,0.099597166189499,0.1,0.10286423858095944,0.5,0.5866253567753817,10043.511333456645,-5501.198533537301
10,0.5,0.2978212518454718,0.1,0.09654258568321811,0.1,0.09516371158339419,0.5,0.521886415797945,10022.98405657161,-5451.9159112250345
11,0.5,0.10038002969803221,0.1,0.09862745077615913,0.1,0.10368361506145146,0.5,0.5506104702600552,9912.943779896026,-5481.133041231226
12,0.5,0.33408770579510705,0.1,0.09626622867440851,0.1,0.09959563704419071,0.5,0.6767160869209133,10056.425269769246,-5465.386483544837
13,0.5,0.2517757941127039,0.1,0.1051379757076774,0.1,0.10261810779835392,0.5,0.49247194817805584,9890.902274434422,-5474.820074903862
14,0.5,0.22949187829055923,0.1,0.10261955785100244,0.1,0.10127924398625564,0.5,0.4361162980028791,9969.042711016167,-5478.888994412537
15,0.5,0.194024332631416,0.1,0.10222743341563378,0.1,0.1067523830255566,0.5,0.6101220694439488,10004.431223549758,-5486.403306359201
16,0.5,0.21765810580327735,0.1,0.10252723042166574,0.1,0.10381713589090684,0.5,0.5466070160605297,9983.168546301727,-5467.1867358949
17,0.5,0.17463121088789174,0.1,0.0956716124084876,0.1,0.09788728003763739,0.5,0.5756034419957871,10036.379246252853,-5448.439938076739
18,0.5,0.22421211328769436,0.1,0.10676892850904637,0.1,0.10150132569502422,0.5,0.3316686288598567,9970.5782573424,-5487.143138074337
19,0.5,0.15432338515690594,0.1,0.10492946481879843,0.1,0.09875977166589407,0.5,0.39368607148286394,9982.790378302463,-5452.084164194486
20,0.5,0.17683278574399544,0.1,0.09805058755040673,0.1,0.10155010309840941,0.5,0.6480926819155657,10062.788807555196,-5463.594228949446
1,0.5,0.2471960635371729,0.1,0.10303987761415631,0.1,0.10455317531668601,1.0,1.0861263005836703,10014.97455271229,-5565.872741444335
