Sim,F_true,Nu0_true,Nu0_est,T_true,T_est,Theta,Loglik
1,0.2,0.1,0.09303525263097612,0.1,0.09682479529860123,10341.105780054164,-207.35592660784448
2,0.2,0.1,0.09237948037446496,0.1,0.08682661312196768,9704.624233653278,-217.38207700400733
3,0.2,0.1,0.09006909516430046,0.1,0.0904415492764835,9727.78016689385,-217.3144269654274
4,0.2,0.1,0.09404074155444851,0.1,0.09998213070669165,9966.427880152474,-199.82837538766182
5,0.2,0.1,0.10145842933510227,0.1,0.10148904341794697,10002.75448035732,-207.09068261224706
6,0.2,0.1,0.10110563692135802,0.1,0.09868309921470558,9891.475073007396,-205.7661391231171
7,0.2,0.1,0.1052036598195618,0.1,0.10897547287173975,9802.581826355188,-200.39643348873858
8,0.2,0.1,0.10080829617901359,0.1,0.09728488799976855,9777.823775169943,-204.71096592443348
9,0.2,0.1,0.1033631103278385,0.1,0.10321408343480563,9842.385800743614,-208.09030048312502
10,0.2,0.1,0.09607128573466064,0.1,0.09355411640977367,9992.21086912109,-201.79072282293475
11,0.2,0.1,0.11043902604905645,0.1,0.11011465724472923,11325.703230064792,-240.69567246626013
12,0.2,0.1,0.1101595161656095,0.1,0.10311561488167166,9854.817705858117,-210.0709285085619
13,0.2,0.1,0.11219230926711665,0.1,0.10599716609604684,10068.758843315687,-212.23706342802484
14,0.2,0.1,0.10256762860793542,0.1,0.10520406508089833,9977.090233349745,-208.8594630098935
15,0.2,0.1,0.09905502868638742,0.1,0.09164079763347552,9099.14386033808,-261.58814567845104
16,0.2,0.1,0.10981925728758968,0.1,0.10700087331293945,10782.958189995274,-216.97109552117058
17,0.2,0.1,0.10012808706484523,0.1,0.0937896425659833,9716.978550177668,-208.81251485658822
18,0.2,0.1,0.09917233313888021,0.1,0.09853393624525113,10344.41459010816,-206.46117511034697
19,0.2,0.1,0.1142044153841019,0.1,0.11569558852733682,10017.990441706563,-205.43348010051955
20,0.2,0.1,0.10684660987891605,0.1,0.10572613529602395,9921.063000253625,-210.6304537046019
1,0.2,0.1,0.07441795718887984,0.2,0.18072663822142246,10010.798221942494,-208.8924619628309
2,0.2,0.1,0.10487045550213273,0.2,0.20541243317663796,8960.115667079192,-221.23376100800408
3,0.2,0.1,0.10723643490908653,0.2,0.19491937837424464,10772.380628993662,-196.0539511915306
4,0.2,0.1,0.10403907890901595,0.2,0.1984403932480042,8594.22524059855,-230.04096984061482
5,0.2,0.1,0.10011801939785775,0.2,0.18827263629528268,10481.196637475576,-210.36085329400112
6,0.2,0.1,0.10385286256075546,0.2,0.20236411129828916,9650.360161251532,-200.29231883196246
7,0.2,0.1,0.09286969171832354,0.2,0.20984409256108758,8992.674407638391,-206.9989057978437
8,0.2,0.1,0.09687420011198179,0.2,0.19789640001262704,10278.407861667609,-214.86146569013658
9,0.2,0.1,0.11610083340377736,0.2,0.20612055648661318,10134.473473440788,-205.55934605400705
10,0.2,0.1,0.08913946897410442,0.2,0.19470822213420166,10100.10302107921,-197.8075112056963
11,0.2,0.1,0.10153764589158852,0.2,0.20813117662411676,8301.515992498109,-227.40311617021007
