Sim,F_true,Nu0_true,Nu0_est,T_true,T_est,Theta,Loglik
1,0.5,0.1,0.11708681766184982,0.1,0.11054606615900982,9787.181765861083,-213.43846723250772
2,0.5,0.1,0.10434726902366058,0.1,0.10113495853648644,9965.032284644934,-207.58427813805883
3,0.5,0.1,0.10110349491775336,0.1,0.11196580345819036,9979.096516567599,-218.4106149250373
4,0.5,0.1,0.10128698981963352,0.1,0.09527760310367375,10096.858179176868,-207.20961412050576
5,0.5,0.1,0.09912438028515376,0.1,0.10421505183507768,9715.734610788562,-205.97163069550413
6,0.5,0.1,0.11640714822950947,0.1,0.11441033618155766,9311.695188225234,-222.99214549099565
7,0.5,0.1,0.10642239027742921,0.1,0.11100655305512515,10059.531564418738,-205.7809658433656
8,0.5,0.1,0.10971388748013525,0.1,0.11251724722129232,10267.642581865344,-215.1664833735258
9,0.5,0.1,0.11539171830296846,0.1,0.11988178158137806,10001.641070753943,-212.59010661540856
10,0.5,0.1,0.1087729127382253,0.1,0.09883442472533369,9968.423315918166,-211.10820318072058
11,0.5,0.1,0.10578840699143507,0.1,0.09474215360521532,9881.175122198352,-213.78215862673142
12,0.5,0.1,0.10312807463435583,0.1,0.09172167722142022,9583.204122666697,-197.60435568668993
13,0.5,0.1,0.09788721001852091,0.1,0.10009352627805412,9980.882267853174,-205.94493903687896
14,0.5,0.1,0.09364035001194838,0.1,0.09847214342821996,10141.475778580405,-210.69815696109117
15,0.5,0.1,0.09318800285704718,0.1,0.09170960285040317,10097.232455502257,-211.17422822182118
16,0.5,0.1,0.08474464586615366,0.1,0.08536118696057751,9896.071705446942,-206.4491719713218
17,0.5,0.1,0.09852610305510945,0.1,0.09573701020225997,10039.585497926184,-204.02517909629137
18,0.5,0.1,0.1050247343107799,0.1,0.10200173778783285,9819.193652736547,-206.5216544775226
19,0.5,0.1,0.09191826978652773,0.1,0.0894209210550576,9873.041394351427,-207.5864628483406
20,0.5,0.1,0.10313537625387195,0.1,0.09698045312894768,9748.09865868348,-210.60130829232037
1,0.5,0.1,0.10846869599728266,0.2,0.20293121901244265,10100.916530977403,-209.97163517573688
2,0.5,0.1,0.09883542640157869,0.2,0.20897967038793405,9456.98185149783,-207.54345487266846
3,0.5,0.1,0.10281655153880384,0.2,0.1986082693580526,10377.305841387231,-203.48149427619967
