Sim,F_true,Nu2_true,Nu2_est,T_true,T_est,M21_true,M21_est,Theta,Loglik
1,0.1,0.1,0.0971681890558286,0.1,0.09958515014813438,0.5,0.54321079504561,10028.812333384245,-6191.194986972523
2,0.1,0.1,0.09895250962177449,0.1,0.10213662387672943,0.5,0.5782462401509256,9925.09339471098,-7115.769691021755
3,0.1,0.1,0.09665608023288631,0.1,0.09660839995564914,0.5,0.40948135529546803,9979.916365656956,-5523.35913982686
4,0.1,0.1,0.09936921107512507,0.1,0.09942703568911787,0.5,0.4697709169689925,10023.870359681894,-5510.791622753308
5,0.1,0.1,0.09732766864872124,0.1,0.09814310336915667,0.5,0.5085847240046866,9916.014608110785,-5476.478487978415
6,0.1,0.1,0.0967149145239412,0.1,0.0967053389333011,0.5,0.45678002960367675,9952.988242136616,-5544.0234562687965
7,0.1,0.1,0.0959403400639833,0.1,0.09720851452780109,0.5,0.49846884045010226,10043.238227046755,-5476.60507830373
8,0.1,0.1,0.09589218303468337,0.1,0.09537050900707561,0.5,0.5030204212013613,10008.154075769638,-5512.8714531817295
9,0.1,0.1,0.09677444571967819,0.1,0.09853887534563803,0.5,0.5858409402521848,9898.272048434615,-5664.655499028747
10,0.1,0.1,0.096156063580835,0.1,0.09302303009064603,0.5,0.4966332515950214,10031.470759039015,-7196.684018126675
11,0.1,0.1,0.10116166538620454,0.1,0.10025282925246909,0.5,0.45710284092097064,9987.46433693884,-6159.748343216383
12,0.1,0.1,0.10915872035558487,0.1,0.10718045243348888,0.5,0.408694633758321,9940.142882174014,-5554.051857532231
13,0.1,0.1,0.09313335490417261,0.1,0.0921929946301279,0.5,0.451980145294507,10129.62002853212,-5599.667678431466
14,0.1,0.1,0.10175792247330799,0.1,0.1027058597700885,0.5,0.511028739552488,9999.238851312335,-5493.514788251505
15,0.1,0.1,0.09262766189108344,0.1,0.09294777163599204,0.5,0.45116105983025095,9974.003910863867,-5505.27999472738
16,0.1,0.1,0.10900366038901074,0.1,0.10966547904975626,0.5,0.4929969265962103,9917.862554094801,-5496.444035994532
17,0.1,0.1,0.10416205915431362,0.1,0.10508490188689502,0.5,0.4525773671164726,9923.835331843211,-5500.119185771704
18,0.1,0.1,0.10046864654417277,0.1,0.09716559981097407,0.5,0.3965487159220999,10038.77712502025,-5490.56950861411
19,0.1,0.1,0.09624011949783495,0.1,0.09869800589296439,0.5,0.47973581892790057,9995.767179797129,-5491.660598691546
20,0.1,0.1,0.10191175998719455,0.1,0.09692209055529986,0.5,0.362315626417946,10037.732186299523,-5865.233216934866
1,0.1,0.1,0.1022462549957925,0.1,0.10092761835739784,1.0,1.021591350308688,9975.051810890795,-8355.195929635287
2,0.1,0.1,0.08818967416141997,0.1,0.08752379403947469,1.0,0.9488222099560613,9995.173326799928,-5625.305816679085
3,0.1,0.1,0.09415259216673574,0.1,0.09429600032438037,1.0,0.8936387035584775,10039.8151275093,-6075.600366471068
4,0.1,0.1,0.09934639300918739,0.1,0.09762963361184364,1.0,0.9155561840520046,9969.873090416972,-5598.267158572153
5,0.1,0.1,0.09909615856603568,0.1,0.10107022618174424,1.0,1.1993765626718504,10058.803997321626,-5617.542011146121
6,0.1,0.1,0.10063136698985818,0.1,0.09835491396990201,1.0,0.8910640918580267,10023.050507707925,-6452.509351143965
