Sim,F_true,Nu2_true,Nu2_est,T_true,T_est,M21_true,M21_est,Theta,Loglik
1,0.2,0.1,0.09248838516049418,0.1,0.09520712358448015,0.5,0.5088170501402548,9979.213009901281,-5517.620644369039
2,0.2,0.1,0.09909865848401735,0.1,0.09530743796169049,0.5,0.3377109815946677,9996.806582041781,-5495.046116760979
3,0.2,0.1,0.10385335682748313,0.1,0.10182603722562712,0.5,0.42179541079833865,10083.346261435809,-5504.487967916806
4,0.2,0.1,0.09177597222082451,0.1,0.09373690641204543,0.5,0.4845054378802379,10056.211622475686,-5496.366414749719
5,0.2,0.1,0.10024582302247957,0.1,0.10025888558846412,0.5,0.4605685619981728,10048.85276208093,-5519.5597496425935
6,0.2,0.1,0.09686084554136877,0.1,0.09593984950233643,0.5,0.4264973628232361,10033.453737097952,-5510.363776517084
7,0.2,0.1,0.11637392881906655,0.1,0.11341524438402345,0.5,0.38622762687016926,9838.247739991275,-5604.6017763820255
8,0.2,0.1,0.09899626545313726,0.1,0.09810632644411485,0.5,0.4729458252641573,9996.502412802103,-5517.966144990525
9,0.2,0.1,0.08776231975385557,0.1,0.08873968075820274,0.5,0.3961395394057522,10053.37305580962,-5493.310237438311
10,0.2,0.1,0.0959158293338254,0.1,0.09453824059269625,0.5,0.5201562534747791,10046.979437399365,-5485.165505390065
11,0.2,0.1,0.09933885922907028,0.1,0.09979328850361144,0.5,0.4553445452367485,9951.69968620988,-5611.152461772862
12,0.2,0.1,0.09300019229708267,0.1,0.09197564530044527,0.5,0.38328801384540395,9989.05184123359,-5516.042447408028
13,0.2,0.1,0.09800238405641551,0.1,0.0985328662478768,0.5,0.442160065468833,10079.353195590656,-6226.003787233194
14,0.2,0.1,0.09876972122240854,0.1,0.09889683447139519,0.5,0.47916496416592574,9949.55799220607,-5463.651728374923
15,0.2,0.1,0.10354152516150669,0.1,0.10188869845669164,0.5,0.42536506033944044,9969.43269471435,-5592.868922965066
16,0.2,0.1,0.10367375392926656,0.1,0.10464556602085032,0.5,0.42873374698617545,9922.813929220943,-5555.095449231834
17,0.2,0.1,0.0943709752087873,0.1,0.09779612504963403,0.5,0.48484770747226075,9932.025082357688,-6740.469718529442
18,0.2,0.1,0.09753214008620405,0.1,0.09845936667141379,0.5,0.43168487401968225,10071.262470038477,-5505.541133773411
19,0.2,0.1,0.09714235931643371,0.1,0.0965405178375426,0.5,0.6003045779711631,9951.626964975289,-5488.817957171232
20,0.2,0.1,0.1022861174420374,0.1,0.0982405685163963,0.5,0.377432293373479,10006.810117314628,-5500.136979743651
1,0.2,0.1,0.10021421302101005,0.1,0.0991742609473423,1.0,1.0214726233230436,9980.205211612134,-5559.313088288956
2,0.2,0.1,0.09848994178382195,0.1,0.09822260115629819,1.0,0.8088514201421863,10037.747917184764,-5564.6544761692885
3,0.2,0.1,0.10290584754954267,0.1,0.09572553307710097,1.0,0.866359273685005,9891.34201152981,-5618.116528587437
4,0.2,0.1,0.10078417780750365,0.1,0.10120400272240264,1.0,0.9055215974707841,9955.345852368844,-5606.818747312932
5,0.2,0.1,0.09519860039954015,0.1,0.09459769889786948,1.0,0.9679312745466312,10044.190254057987,-5594.928972843596
6,0.2,0.1,0.09684704888374865,0.1,0.09462694784436958,1.0,0.9090161434691889,9972.949230762752,-5516.854032084825
7,0.2,0.1,0.08843633968428072,0.1,0.0894057215795998,1.0,1.0158654776977771,10198.952333932086,-5575.578432751443
8,0.2,0.1,0.10204557741697952,0.1,0.10171245910489443,1.0,0.9876414140303681,9987.981623419693,-5572.050405644277
9,0.2,0.1,0.09899756856300027,0.1,0.10061433542187953,1.0,0.99664101262435,10058.249327641719,-6477.036071078344
10,0.2,0.1,0.09949459003455766,0.1,0.09784504473313378,1.0,0.9105246762437212,9986.299078747039,-5568.564185239819
11,0.2,0.1,0.0967261132322412,0.1,0.09607205633965732,1.0,1.0049244102245911,10021.604551992192,-5746.313133568274
12,0.2,0.1,0.0962643436200702,0.1,0.0991238199663902,1.0,0.9831148860434887,10033.125122692303,-5587.205387122096
13,0.2,0.1,0.09896297505302712,0.1,0.09664622477005001,1.0,0.9617741757509373,10097.96366301748,-5670.602367698536
14,0.2,0.1,0.09982164451188233,0.1,0.1008487662759662,1.0,0.8891571104960758,10023.0001636661,-5773.549983452778
15,0.2,0.1,0.09325262475860456,0.1,0.0886351311468389,1.0,0.9040636949669614,10023.68759263121,-5590.501756593587
16,0.2,0.1,0.09792362322918308,0.1,0.09869543196443088,1.0,1.0810417409314237,10059.202269432266,-6268.6046365673365
17,0.2,0.1,0.10434045943366986,0.1,0.10210144804258237,1.0,0.7637962246241731,9905.943661136595,-5808.004524241605
18,0.2,0.1,0.09010861562205538,0.1,0.09194915565024295,1.0,1.0651272906809357,10088.491873066541,-5507.685652290795
19,0.2,0.1,0.10052255581232279,0.1,0.09814704753644703,1.0,0.8628126444158547,9936.224599868225,-5608.807201490037
20,0.2,0.1,0.0991925484197047,0.1,0.09738388431091954,1.0,0.8418091130959988,10014.612843848627,-5690.855169794632
1,0.2,0.1,0.0991433141977147,0.1,0.09587129355903953,1.5,1.2378081132714533,10036.392787746003,-8338.871995992264
2,0.2,0.1,0.09328731747282991,0.1,0.08942900331274893,1.5,1.3798162978775157,10002.232264165119,-5751.404949710397
3,0.2,0.1,0.09954565570265642,0.1,0.09911593947822042,1.5,1.537160967910844,9952.899683116104,-5619.138718237383
4,0.2,0.1,0.09750321954101661,0.1,0.09548685747096844,1.5,1.4365917796138625,9944.834076443964,-5659.1475278486905
5,0.2,0.1,0.09819661094605253,0.1,0.09492778555434847,1.5,1.190916900309074,10082.506310470753,-5637.068106403653
6,0.2,0.1,0.10603990803178165,0.1,0.10494216164332126,1.5,1.4439284051501498,9928.437901783338,-5653.074128472177
7,0.2,0.1,0.09420017370738312,0.1,0.08995219503050313,1.5,1.236549882613318,9992.078790477832,-5645.379578749118
8,0.2,0.1,0.09082879807635623,0.1,0.0846393522096931,1.5,1.353965975098693,10073.803870766256,-5667.523892328933
9,0.2,0.1,0.09394102413028323,0.1,0.09129344276249006,1.5,1.3908398288763961,10001.489896221312,-5713.568031603656
10,0.2,0.1,0.08881022568811492,0.1,0.0862232384042923,1.5,1.3923602497052359,10039.375081648734,-5747.157687747273
11,0.2,0.1,0.10430198314464716,0.1,0.10203463940057442,1.5,1.2243914968173215,9996.928744855546,-5651.778136588188
12,0.2,0.1,0.1119830350279579,0.1,0.10699437132840554,1.5,1.2242937953144972,9913.231255886445,-5774.154565733265
