Sim,F_true,Nu0_true,Nu0_est,T_true,T_est,Theta,Loglik
1,0.4,0.1,0.1103199947659725,0.1,0.11339390371790373,9314.148168518304,-220.9854489810325
2,0.4,0.1,0.10866798431646635,0.1,0.12003636956815329,9861.34465345957,-205.31819505457668
3,0.4,0.1,0.12047853338932427,0.1,0.13024265896697623,10368.467430958364,-208.20593177631065
4,0.4,0.1,0.08789575746227513,0.1,0.08716152084900476,9905.391262849802,-214.70912470524286
5,0.4,0.1,0.09271664376544662,0.1,0.10524959916919724,9963.61059500712,-199.76752845987414
6,0.4,0.1,0.09927393746582526,0.1,0.09637461031517189,10017.094004487933,-201.74592400041422
7,0.4,0.1,0.09308561224669823,0.1,0.09716569862452618,9984.892262650032,-206.18403204717322
8,0.4,0.1,0.09793393881173607,0.1,0.09818275758012973,10006.016620591252,-200.7530751398823
9,0.4,0.1,0.10513859210761471,0.1,0.10819757458664336,10170.883460572055,-204.25706592649976
10,0.4,0.1,0.10792254838956611,0.1,0.10993477302384395,9993.756376817815,-209.11915139786993
11,0.4,0.1,0.11046702738230087,0.1,0.11809700033611747,10264.461261052038,-209.6546944017441
12,0.4,0.1,0.09313444763824856,0.1,0.09685968604405136,10167.600056383397,-203.93330769908914
13,0.4,0.1,0.10308768199256858,0.1,0.11611165462565935,9959.428823633663,-203.33201872564473
14,0.4,0.1,0.09965129514541828,0.1,0.09728364574385794,9960.789008929476,-205.41478483971696
15,0.4,0.1,0.11669208126589335,0.1,0.11451179170974977,9922.50598987943,-206.39794182869218
16,0.4,0.1,0.09800251603649598,0.1,0.10828659627122042,9773.562295452277,-200.8290638628839
17,0.4,0.1,0.11585153364372187,0.1,0.1134123826801889,9864.558939628514,-205.66064940474712
18,0.4,0.1,0.09543244759187118,0.1,0.09154661400849326,9581.853076011283,-216.55194014969265
19,0.4,0.1,0.10531475381748893,0.1,0.10757889879287379,10569.748057733894,-228.27983016847884
20,0.4,0.1,0.1054863984747502,0.1,0.10722080539918365,9379.372492242659,-219.67394543911792
1,0.4,0.1,0.1162766555334107,0.2,0.2012691164753403,9625.594087234227,-203.85884860844305
2,0.4,0.1,0.0895079350606852,0.2,0.19132044633548476,9233.2727665051,-199.7713206661025
3,0.4,0.1,0.1046138212834192,0.2,0.206895570145554,9870.974412692605,-198.99164645419057
4,0.4,0.1,0.11370820507710858,0.2,0.2040309322898106,9926.164701835927,-214.34203677377366
5,0.4,0.1,0.10894399553693901,0.2,0.2024638006493234,9906.600679119483,-202.6994623703606
6,0.4,0.1,0.09779294530470749,0.2,0.21913156442731874,10446.699401710688,-212.2162357892537
7,0.4,0.1,0.09593602541497638,0.2,0.19690397319614653,9349.190045788271,-203.049307760822
8,0.4,0.1,0.09622476962964173,0.2,0.20705363879924316,8601.088037802325,-269.5968519388275
9,0.4,0.1,0.10761780481820624,0.2,0.20669340726209195,8980.81562322954,-218.24922180146996
10,0.4,0.1,0.10266784779301243,0.2,0.1978911841833416,8587.602435409317,-218.9002986744248
11,0.4,0.1,0.08901845012886508,0.2,0.19213582137661384,9644.475214968286,-202.0399158304217
12,0.4,0.1,0.11302334536502702,0.2,0.21507397352467733,8492.045739387058,-221.04319975627538
13,0.4,0.1,0.11202567449688224,0.2,0.19686409189895293,9203.659870042717,-206.53308943553986
14,0.4,0.1,0.11578637530392592,0.2,0.20689200342149588,8933.495926707985,-224.61248513763144
15,0.4,0.1,0.10766741239395468,0.2,0.20152021537058082,9692.539205631098,-206.61059014467492
16,0.4,0.1,0.1096281503587641,0.2,0.1961916058073962,8346.607197368026,-237.84029840997925
17,0.4,0.1,0.10332204768103898,0.2,0.18883971728356322,9673.566534650425,-194.92604435341445
18,0.4,0.1,0.13812991461530102,0.2,0.2303903468035029,9718.006235305576,-197.9332803544787
19,0.4,0.1,0.11138470612907107,0.2,0.21627914431264122,8475.165663721653,-243.42084682434972
20,0.4,0.1,0.11665525322167228,0.2,0.20651607237583916,8565.243294414882,-237.3459073850388
1,0.4,0.1,0.110467136912229,0.3,0.3083144995588413,7982.498876596599,-210.32825625069654
2,0.4,0.1,0.09044096100075977,0.3,0.29534233988150116,11554.673112704577,-202.74858121034686
3,0.4,0.1,0.05027643452450233,0.3,0.2361390510906464,7648.453649906005,-240.0509113150174
4,0.4,0.1,0.09506012150637698,0.3,0.2942200315222788,7889.329415971988,-206.37205744390224
5,0.4,0.1,0.10322238793912122,0.3,0.31415247623592935,9502.57025603492,-202.91801459733642
6,0.4,0.1,0.09509339539478695,0.3,0.29673789238420323,9926.572464605832,-187.35377230025574
7,0.4,0.1,0.0992556795355477,0.3,0.3023312611315112,9235.212193482103,-202.86255127898357
8,0.4,0.1,0.08997354367244598,0.3,0.29823701764594435,8768.023618002064,-203.4180460677676
9,0.4,0.1,0.09151795572287229,0.3,0.2883723819605352,12703.680899331954,-213.86038182134604
10,0.4,0.1,0.11910749197118582,0.3,0.3301444469426351,14520.617897618393,-212.36130921676101
11,0.4,0.1,0.1255983475151794,0.3,0.34801319673017245,6774.771658840812,-236.73348297033533
12,0.4,0.1,0.10074746269481342,0.3,0.2944577345692174,6642.603975598402,-304.44966624104677
13,0.4,0.1,0.09028765166937595,0.3,0.29771520207131913,9041.51311218826,-192.71057253740264
14,0.4,0.1,0.1107285205457727,0.3,0.3130383458464909,7887.767700645616,-210.41297840775508
15,0.4,0.1,0.10015095027818961,0.3,0.30936188696818046,16275.160401026464,-220.75345146917618
16,0.4,0.1,0.10396053123866489,0.3,0.3098459699992791,9888.085570766318,-191.97291201549535
17,0.4,0.1,0.11622011551944259,0.3,0.3121081826286567,9024.136532316612,-207.05344198527928
18,0.4,0.1,0.11807597342435475,0.3,0.32962176698547246,7854.075699945695,-207.6451485297763
19,0.4,0.1,0.07187211992617876,0.3,0.27234466912702776,15663.338296149446,-221.17393474780897
20,0.4,0.1,0.1273350815737322,0.3,0.3389247957968097,8553.87468023495,-210.52539884528278
1,0.4,0.25,0.23376568677490858,0.1,0.09575669337193769,10099.395732257351,-219.91176952979208
2,0.4,0.25,0.255502164221569,0.1,0.11042010958470538,10074.463836535473,-204.43067486230007
3,0.4,0.25,0.264275575366838,0.1,0.10116410942680817,9973.273257146247,-208.59138228577694
4,0.4,0.25,0.26801749093883553,0.1,0.10787690082069547,10162.9791260795,-207.7845267088769
5,0.4,0.25,0.2608913655963556,0.1,0.1080016959152037,10114.6732934339,-210.11223238480454
6,0.4,0.25,0.2204691528371376,0.1,0.08667534296180035,9848.376012033908,-213.60484976682915
7,0.4,0.25,0.25298096209910215,0.1,0.09811963152232069,10113.603359384058,-202.38381822754866
8,0.4,0.25,0.24217449168183988,0.1,0.09895383125068848,10187.291808421694,-204.3077383680702
9,0.4,0.25,0.25027037146218223,0.1,0.11571818054531528,9906.709747213054,-213.3443023745217
10,0.4,0.25,0.2726729080115089,0.1,0.10718914173784469,10211.594503570148,-213.2408920215389
11,0.4,0.25,0.2644979010994091,0.1,0.09437644107341174,9936.518413081032,-205.85379937081348
12,0.4,0.25,0.21745711667502704,0.1,0.09100918878947294,10006.427600799963,-224.5417670212255
13,0.4,0.25,0.23402206310168197,0.1,0.098317119386434,10068.223375252823,-207.78096423965235
14,0.4,0.25,0.2497467331567286,0.1,0.10121786035344013,10040.843403547737,-204.78799898629052
15,0.4,0.25,0.27515366348048537,0.1,0.12269065568058911,10106.556438138481,-212.86894017531222
16,0.4,0.25,0.23463487702625246,0.1,0.08310199064548357,9848.407656396543,-202.68058125047094
17,0.4,0.25,0.18934822649949973,0.1,0.06706900093980467,10007.421004980488,-210.1828196081301
18,0.4,0.25,0.23231644452900324,0.1,0.07989448320442367,9955.031255453254,-208.09366970335043
19,0.4,0.25,0.29154897177993216,0.1,0.125713529686844,9988.85879546288,-203.06973092587714
20,0.4,0.25,0.2598078806797487,0.1,0.10845165906906408,9985.879901650396,-212.27496642680944
1,0.4,0.25,0.24749190055400144,0.2,0.2275207524625281,10058.881734643035,-220.9029141714185
2,0.4,0.25,0.2421357426214511,0.2,0.200718049004172,9953.966637170004,-206.60263360205693
3,0.4,0.25,0.2539544612661911,0.2,0.20882364340734752,9775.395684591522,-207.12132046346437
4,0.4,0.25,0.24116510101474686,0.2,0.1858873437871799,10016.019893103487,-210.12382750548477
5,0.4,0.25,0.2661969996881385,0.2,0.21015547763624662,10147.278161864264,-203.0515824565657
6,0.4,0.25,0.2684467518057209,0.2,0.21316584102221425,10207.349899199726,-209.15332438719702
7,0.4,0.25,0.2561877944422114,0.2,0.20873455361789928,9696.36384986616,-210.75645755302162
8,0.4,0.25,0.26992832986686327,0.2,0.18594945166152427,9957.837843528237,-208.27289960574194
9,0.4,0.25,0.2469622089919741,0.2,0.18432997775001164,9321.886975302916,-208.51532552092317
10,0.4,0.25,0.2550607041352906,0.2,0.21312508517631074,9659.928286392902,-216.4580791714452
11,0.4,0.25,0.23650440659087868,0.2,0.15727789116201019,9574.985305976914,-209.27989236706424
12,0.4,0.25,0.25676071531797406,0.2,0.21484424115946396,9956.467904259993,-206.31245759392164
13,0.4,0.25,0.2507374493375259,0.2,0.20022375087816827,9757.393924342672,-205.89034671961122
14,0.4,0.25,0.27011480309493335,0.2,0.1850553564667771,10782.679235103195,-226.28438193364252
