Sim,F_true,Nu0_true,Nu0_est,T_true,T_est,Theta,Loglik
1,0.3,0.1,0.09479174500023398,0.1,0.09088656955987079,9953.552081937847,-198.61082422107415
2,0.3,0.1,0.0975697307173872,0.1,0.10478519282824589,9795.619647447524,-206.4541769783283
3,0.3,0.1,0.10632689744952686,0.1,0.10189917256419703,9755.370560962117,-202.75664675403857
4,0.3,0.1,0.10630138880946827,0.1,0.1069539805005684,11971.5365655338,-273.2016290240331
5,0.3,0.1,0.09753877614676941,0.1,0.10149424715186134,10209.898386873203,-206.00045194853146
6,0.3,0.1,0.1065934793623466,0.1,0.11011794798740018,10114.98633046126,-209.85107692954477
7,0.3,0.1,0.09482089626485941,0.1,0.10589912725722067,10014.271247203615,-201.63252387664318
8,0.3,0.1,0.0980037834441194,0.1,0.09521551562674603,10048.485839583327,-204.1401843856794
9,0.3,0.1,0.10607028319167122,0.1,0.10726945151666856,10220.942699591982,-209.1371077872882
10,0.3,0.1,0.09494109502880702,0.1,0.09534106434117105,11037.01336193892,-233.13798601755707
11,0.3,0.1,0.10531265025944915,0.1,0.10657339370353464,10232.525306429441,-205.46161452058584
12,0.3,0.1,0.10768552555724924,0.1,0.10797935849654941,9884.538208694616,-206.66618396548267
13,0.3,0.1,0.0990466614670561,0.1,0.1010251380605011,10235.701980325957,-208.98910348490017
14,0.3,0.1,0.10579981986726489,0.1,0.11701886576093024,9926.26175846537,-219.66444093284883
15,0.3,0.1,0.10723343939454039,0.1,0.10089867699658557,9866.587042592171,-207.98542011716074
16,0.3,0.1,0.09912943017242909,0.1,0.10358357136816629,9793.864042049396,-198.53191857417175
17,0.3,0.1,0.10587212880080062,0.1,0.1120739888687009,10203.87811003867,-204.20397710778275
18,0.3,0.1,0.10989781141662193,0.1,0.1034285948936728,8922.672363813512,-266.3177060648143
19,0.3,0.1,0.11197201365028489,0.1,0.11631102370038662,10112.994838245359,-198.06284892157373
20,0.3,0.1,0.10270472951466532,0.1,0.0996429430120957,10203.378689183888,-201.60488192281878
1,0.3,0.1,0.10670186312128005,0.2,0.1994602743803635,10596.575773422708,-212.2675815567328
2,0.3,0.1,0.08886801981931304,0.2,0.19719593154943715,8484.972443153596,-218.10987831899695
3,0.3,0.1,0.10899441948019775,0.2,0.2092753828470402,9386.988935542391,-200.78457327602212
4,0.3,0.1,0.10558322521872057,0.2,0.21149921805467364,9272.658841066517,-203.09942619480648
5,0.3,0.1,0.10437588120442767,0.2,0.20858130573627492,9937.553160647089,-199.26951568938125
6,0.3,0.1,0.09684659001538495,0.2,0.20592921103202855,9008.064476885567,-212.19733079670732
7,0.3,0.1,0.10658151996492075,0.2,0.19371106140196256,9281.099060090199,-204.9721549029947
8,0.3,0.1,0.08784398644186281,0.2,0.20585402376855946,10036.696122838253,-206.26594313407213
9,0.3,0.1,0.12233083454341259,0.2,0.20533389613873548,10317.23580441975,-202.19202289257134
10,0.3,0.1,0.08952579470808955,0.2,0.19877227633434152,9022.417394985618,-225.9799301052974
11,0.3,0.1,0.09810519370886761,0.2,0.2023556539801942,9951.55041154121,-204.36757666308313
12,0.3,0.1,0.11362276928609051,0.2,0.2022871204247171,10796.624977051137,-207.82353325730458
13,0.3,0.1,0.10469981211507229,0.2,0.2038930968468684,8638.706559611548,-204.12291394208978
14,0.3,0.1,0.09838094675647797,0.2,0.20754534661688637,9927.80843357951,-198.02459058722388
15,0.3,0.1,0.10190296366378576,0.2,0.20685938539782506,10008.653840073888,-199.34927556962896
16,0.3,0.1,0.09022244282900284,0.2,0.1971289952632802,9937.457880516582,-205.86577015220087
17,0.3,0.1,0.11383337259715293,0.2,0.19814247945151678,10070.698294612292,-200.00976768063856
18,0.3,0.1,0.1148129173454602,0.2,0.20822601728830537,10174.801323714526,-213.05260670738994
19,0.3,0.1,0.11409305325963236,0.2,0.22020853118786893,9745.169767326623,-206.25772101170162
20,0.3,0.1,0.09782571984973379,0.2,0.19236184247206134,9668.30924631788,-199.52901119096055
1,0.3,0.1,0.14419685343364694,0.3,0.33193052330404527,10256.63168459364,-207.69808968788846
2,0.3,0.1,0.08773712202399954,0.3,0.2970989372877153,9292.532696992826,-194.02575841632608
3,0.3,0.1,0.13128764068246773,0.3,0.3286597897758546,12094.919383859584,-202.0103879455487
4,0.3,0.1,0.09824681867554068,0.3,0.30283800199463645,7606.380157825155,-203.56025861097316
5,0.3,0.1,0.1136581665550979,0.3,0.303898665352888,8973.316818080013,-206.16739443254443
6,0.3,0.1,0.10362412553902244,0.3,0.30729896821315705,9951.652974691962,-187.87823790244556
7,0.3,0.1,0.08407100784305889,0.3,0.29022527367075673,6587.723456707301,-272.9426974418793
8,0.3,0.1,0.06181223421384401,0.3,0.256186880964522,10168.434258932899,-193.55746348043579
9,0.3,0.1,0.12360378461721458,0.3,0.32144435884590017,13521.9280402091,-203.1857048043404
10,0.3,0.1,0.10220261757481758,0.3,0.29926090226089613,7814.283570582265,-217.22940300334665
11,0.3,0.1,0.09888075022728877,0.3,0.2993415989704268,9721.062220976315,-201.85898296400865
12,0.3,0.1,0.11596356447452276,0.3,0.3360553023547452,7551.682723872732,-218.17262582256933
13,0.3,0.1,0.11020948267641975,0.3,0.32235952007241436,12338.389934952756,-204.44952580729
14,0.3,0.1,0.07301747430000712,0.3,0.2651594384301994,7970.254904497553,-201.1678560341278
15,0.3,0.1,0.08359530681392098,0.3,0.279699466532527,8235.585742014611,-209.04022451238473
16,0.3,0.1,0.07237643985052741,0.3,0.27884311438252113,6559.5219076368385,-256.64603637764696
17,0.3,0.1,0.09570748736781291,0.3,0.30422025046376644,9614.457265702187,-201.83163440162502
18,0.3,0.1,0.13045374402412832,0.3,0.32406645122624095,9103.75678011011,-193.87860154155328
19,0.3,0.1,0.0993572468699897,0.3,0.3133663650678051,12772.785378332876,-192.5710558408814
20,0.3,0.1,0.08966299009182675,0.3,0.2913227753593273,9273.530715949475,-199.8219712752283
1,0.3,0.25,0.21581053446962356,0.1,0.09008485522572982,9895.139529186394,-204.16327402174613
2,0.3,0.25,0.21662233527178976,0.1,0.0976605465777114,9862.661918559079,-216.23175460304662
3,0.3,0.25,0.26650689537287503,0.1,0.10571638554737929,10121.192791355354,-200.60943941902644
4,0.3,0.25,0.24581226029297715,0.1,0.09697646538460652,9822.751561360652,-215.78056574972027
5,0.3,0.25,0.27191989640410724,0.1,0.10103254694798854,9926.057485340822,-203.2693726884229
6,0.3,0.25,0.25195667051968074,0.1,0.10434395365137973,10115.854059076053,-203.86517711601005
7,0.3,0.25,0.262395866109764,0.1,0.10637445132545326,9896.405379747415,-205.2746586649298
8,0.3,0.25,0.2929010423669619,0.1,0.11698118355116578,10222.218382008068,-231.5509758332962
9,0.3,0.25,0.22923080006400678,0.1,0.09867112060200389,9821.105102399822,-218.47980361615055
10,0.3,0.25,0.2554115115616327,0.1,0.10940627161587142,9876.27876381293,-202.40259659300852
11,0.3,0.25,0.24872177462439116,0.1,0.10000845834842371,9996.289678466359,-211.92732178448045
12,0.3,0.25,0.25170840548233064,0.1,0.09560503705614917,10163.54649438079,-209.44029971043847
13,0.3,0.25,0.2909561729345485,0.1,0.11851605109788578,9992.52607344049,-206.26466403572942
14,0.3,0.25,0.19793295652207904,0.1,0.07739035784261603,10037.610006633144,-210.5050836904195
15,0.3,0.25,0.20630768528755594,0.1,0.08702570095286484,9998.460095197308,-209.69253499717286
16,0.3,0.25,0.2520408426366767,0.1,0.09915565758456632,9403.382488051744,-224.03981759387887
17,0.3,0.25,0.3015920383451225,0.1,0.12776592712751403,9906.419776681882,-208.96188683799983
18,0.3,0.25,0.2619059439954806,0.1,0.1011001598385066,9519.18685433,-225.3146943267186
19,0.3,0.25,0.2526480982792742,0.1,0.09733207305478375,9821.083971199168,-205.9741943849158
20,0.3,0.25,0.21600088272431728,0.1,0.08496691697922011,9917.42598774473,-206.3161841937881
1,0.3,0.25,0.29341159570261877,0.2,0.21883343025678392,10206.823345633371,-205.02484830950334
2,0.3,0.25,0.2464242090769357,0.2,0.20028336741800784,9728.802295502526,-209.48254406365436
3,0.3,0.25,0.24723610276380042,0.2,0.22809934087024866,9835.32218807023,-206.10575222959233
4,0.3,0.25,0.2699804517668927,0.2,0.19266300211021237,9925.823829629107,-200.43539781788274
5,0.3,0.25,0.22332708692106693,0.2,0.22541175322446858,10139.221912109144,-200.14573570991934
6,0.3,0.25,0.27575931279610333,0.2,0.20860090460435599,10035.888477894072,-212.17844364551524
7,0.3,0.25,0.24321204802372176,0.2,0.19924277828020734,10057.993823815494,-208.1364314051259
8,0.3,0.25,0.2684704543144223,0.2,0.22179130447404694,10145.80232451003,-211.35179360538325
9,0.3,0.25,0.2557459930288366,0.2,0.19196841340567528,11552.399401068886,-233.30881073803323
10,0.3,0.25,0.25676997266238016,0.2,0.20323574332164263,10434.03686029847,-217.58101722956746
11,0.3,0.25,0.23978249397953272,0.2,0.20903344522125414,11352.92512669462,-219.78213805807025
12,0.3,0.25,0.2462390810181473,0.2,0.2050485196055066,9691.100882761732,-203.44436766763067
13,0.3,0.25,0.23864195596973592,0.2,0.1989629252337724,10731.46449603354,-239.0346652710963
14,0.3,0.25,0.26181275937760573,0.2,0.22480621632080608,9195.877551238727,-226.8691674184064
15,0.3,0.25,0.27061855709630345,0.2,0.20500366175259538,9118.661345345165,-230.07127293808935
16,0.3,0.25,0.27920157658023526,0.2,0.2064676969095177,9346.176223452621,-227.7634364483108
17,0.3,0.25,0.2499481801827875,0.2,0.18058079255325976,9840.745825051485,-214.54352289038445
18,0.3,0.25,0.2725229045129414,0.2,0.2033893377119978,9786.823328810475,-204.67459265029674
19,0.3,0.25,0.27907356704282865,0.2,0.20511462818269918,9504.000507343002,-210.05619824713187
20,0.3,0.25,0.2691143726281151,0.2,0.20628330215562626,9492.845385837616,-212.36925751052422
