Sim,F_true,Nu2_true,Nu2_est,T_true,T_est,M21_true,M21_est,Theta,Loglik
1,0.4,0.1,0.09337884326826583,0.1,0.09502122691533774,0.5,0.4442018251892182,10001.150687863357,-6322.839716758026
2,0.4,0.1,0.09309262875746233,0.1,0.0912801892105645,0.5,0.4822829066433653,10046.834137172997,-5606.1398538685335
3,0.4,0.1,0.10258588995892294,0.1,0.09746299236575524,0.5,0.29393769531029906,9992.182993556306,-5534.483186951101
4,0.4,0.1,0.09713584041187236,0.1,0.09659220744480417,0.5,0.43568466379170045,9975.513582908647,-5450.867445255513
5,0.4,0.1,0.0989134742041129,0.1,0.09486033819341934,0.5,0.35217855600083,10070.64544069475,-5495.820354074937
6,0.4,0.1,0.10179209770596256,0.1,0.09911847557536388,0.5,0.35056482143456763,9926.433272046695,-5484.939017956612
7,0.4,0.1,0.10796143834525333,0.1,0.10732419149978067,0.5,0.33352400619941236,9846.861543827905,-5544.61010158993
8,0.4,0.1,0.09999374117250782,0.1,0.09651364673776655,0.5,0.3167930852531085,10049.287354032924,-5557.14348542435
9,0.4,0.1,0.09522871533445545,0.1,0.0955311832019058,0.5,0.4520269907536077,10012.045473568269,-5454.866541323892
10,0.4,0.1,0.09311291606462467,0.1,0.0905797148999439,0.5,0.42874525897192584,10116.792107519414,-5509.0372598951035
11,0.4,0.1,0.098078291488379,0.1,0.10499106810857231,0.5,0.6951910472548241,9945.41159579048,-5587.9844882424395
12,0.4,0.1,0.0978128718179767,0.1,0.09569348976122793,0.5,0.3411198275222046,9913.204307311162,-5509.592220716528
13,0.4,0.1,0.10272258259246238,0.1,0.09879607043247485,0.5,0.31573513425865324,9977.623771358489,-5478.601645515993
14,0.4,0.1,0.10217802793001024,0.1,0.10148444616101664,0.5,0.3757806427424331,10019.125726897422,-5539.971436184713
15,0.4,0.1,0.10019364907645285,0.1,0.09777944979309161,0.5,0.3927558638029759,9827.789530471488,-6733.495147773832
16,0.4,0.1,0.11373821152082583,0.1,0.11318871813591257,0.5,0.37383593554071354,9824.347007754426,-7472.605249272678
17,0.4,0.1,0.10135153538946179,0.1,0.099913257831244,0.5,0.3630361649277968,10006.14190696326,-5454.063282721887
18,0.4,0.1,0.10282515198267547,0.1,0.10073753599606938,0.5,0.25112777543575826,10056.288463721898,-5523.460559816199
19,0.4,0.1,0.09994317594636697,0.1,0.09770954340671503,0.5,0.41423815701227207,9953.836980349364,-5582.402258099923
20,0.4,0.1,0.10004529809646828,0.1,0.09732988070897226,0.5,0.37153513157708773,9910.408268029129,-5525.309454365789
1,0.4,0.1,0.10091338054628657,0.1,0.10188912290270134,1.0,1.016951075349869,9966.955795843216,-5591.668793618932
2,0.4,0.1,0.09802249015827834,0.1,0.09459523801119817,1.0,0.8868220888246425,9976.04361278485,-5722.07747011217
3,0.4,0.1,0.09170376548704215,0.1,0.08878008109705574,1.0,0.8903381554305807,10037.056877962437,-5546.132436252733
4,0.4,0.1,0.09143255209156963,0.1,0.08861393141171385,1.0,0.7176433246011393,10025.472007040333,-7127.337947676853
5,0.4,0.1,0.10225161866388438,0.1,0.1001894576299906,1.0,0.7867722241574415,9940.138370460534,-5644.053145473892
6,0.4,0.1,0.09912117482137213,0.1,0.09340751031447705,1.0,0.8896981575126459,9997.189707724443,-5618.689471292473
7,0.4,0.1,0.09869388231521777,0.1,0.09707037469130939,1.0,0.7771310528561531,10049.786070391714,-5601.256529137528
8,0.4,0.1,0.09947720743995803,0.1,0.10035174498475752,1.0,0.851377327724491,9983.642021913834,-6573.841845492187
9,0.4,0.1,0.10335233663843367,0.1,0.10133677575565044,1.0,0.8548298082065747,10003.36840825468,-5553.241997755137
10,0.4,0.1,0.09827394611922194,0.1,0.09287173839444919,1.0,0.8662002884529819,9965.925640475076,-5599.658694759821
11,0.4,0.1,0.10449671371305722,0.1,0.09947684999228497,1.0,0.6846757994340891,10003.977495879179,-6591.995179146772
12,0.4,0.1,0.09947943020220025,0.1,0.09188984200044656,1.0,0.64659879301109,9948.30253728079,-5589.345877813044
13,0.4,0.1,0.10122455288495306,0.1,0.09781700688803133,1.0,0.8297384905393106,9984.675556896786,-5520.219986402932
14,0.4,0.1,0.1023893382177933,0.1,0.09948840552437778,1.0,0.7401412405384733,10024.601366134311,-5672.627935105066
15,0.4,0.1,0.09980167268446494,0.1,0.09871254292825984,1.0,0.7970046735493362,9928.25037142769,-5574.374497461598
16,0.4,0.1,0.09837214555989818,0.1,0.09768324820786678,1.0,0.9197387600826007,10023.051963349397,-5584.2635954557
17,0.4,0.1,0.09567504731236358,0.1,0.09410992431051564,1.0,0.8303005673996648,10001.728618387107,-5591.167370639582
18,0.4,0.1,0.10042071582424754,0.1,0.09724210531719162,1.0,0.8069141408852001,10020.070912010835,-7139.604146496783
19,0.4,0.1,0.09457120702311714,0.1,0.09870818784638816,1.0,1.0305329900458267,10004.012673881221,-5578.749422375757
20,0.4,0.1,0.10240087707172223,0.1,0.10030827756978376,1.0,0.863476845807336,10033.686641013714,-5559.199047123097
1,0.4,0.1,0.10298362133935139,0.1,0.1016808785645747,1.5,1.4001441802621355,9950.806723865928,-5742.744628467257
2,0.4,0.1,0.10126683060464627,0.1,0.09898906550946233,1.5,1.2464760457936572,10042.03568446445,-5662.356945978935
3,0.4,0.1,0.09875140524892392,0.1,0.09503764722098958,1.5,1.160455841130596,10040.003184505997,-7023.40977015225
