Fis,X,Y
0.0,1,0.9990034819537931
0.1,1,0.9453614535293349
0.25,1,0.8534548789733971
0.5,1,0.6600303184306585
0.75,1,0.391972458355139
0.9,1,0.17635828212304636
0.0,2,0.4995657266301655
0.1,2,0.501036379073204
0.25,2,0.5103924455724386
0.5,2,0.558170684660712
0.75,2,0.6864549365977449
0.9,2,0.8405447386239233
0.0,3,0.33308106368189383
0.1,3,0.33302553042068356
0.25,3,0.3319815606812827
0.5,3,0.3192961438287234
0.75,3,0.2552993989919745
0.9,3,0.14336047942082789
0.0,4,0.24983775839190367
0.1,4,0.24983956921580272
0.25,4,0.2499650308471327
0.5,4,0.2535597336128339
0.75,4,0.2867697712487543
0.9,4,0.36939466089013917
0.0,5,0.1998909037211993
0.1,5,0.19989021960986547
0.25,5,0.19987338328300158
0.5,5,0.19879153657934318
0.75,5,0.18090207820666263
0.9,5,0.11895833268772193
0.0,6,0.16659226554896264
0.1,6,0.16659172498808314
0.25,6,0.16659343821803035
0.5,6,0.16693524468626023
0.75,6,0.17691226719798459
0.9,6,0.2240554526062316
0.0,7,0.1428068988613397
0.1,7,0.14280637801505378
0.25,7,0.14280553339703572
0.5,7,0.14269068538190846
0.75,7,0.1369390766533925
0.9,7,0.10053020017941723
0.0,8,0.12496732365748109
0.1,8,0.12496682040344073
0.25,8,0.12496636025175095
0.5,8,0.12500521985984667
0.75,8,0.1284229348224165
0.9,8,0.1569412378864967
0.0,9,0.11109159627916819
0.1,9,0.11109110810002225
0.25,9,0.11109060102248998
0.5,9,0.11107536923793035
0.75,9,0.10898195211943863
0.9,9,0.08633399708539463
0.0,10,0.09999054654956327
0.1,10,0.0999900795349259
0.25,10,0.0999895937055542
0.5,10,0.09999427578740855
0.75,10,0.10131108324041169
0.9,10,0.11953655524678103
0.0,11,0.09090743227481779
0.1,11,0.09090699574580635
0.25,11,0.09090652138879562
0.5,11,0.0909035919676127
0.75,11,0.09005038704697635
0.9,11,0.07519163955572696
0.0,12,0.08333776358915466
0.1,12,0.08333736452951544
0.25,12,0.08333690457527806
0.5,12,0.08333705485511933
0.75,12,0.08390274905970828
0.9,12,0.09616841582284727
0.0,13,0.07693228222163068
0.1,13,0.07693192243856231
0.25,13,0.07693147755795142
0.5,13,0.07693037406332019
0.75,13,0.07654336112647908
0.9,13,0.06629217995181655
0.0,14,0.07144151963784914
0.1,14,0.07144119593780206
0.25,14,0.07144076714361006
0.5,14,0.07144024900725632
0.75,14,0.07170999736879198
0.9,14,0.08037911381285301
0.0,15,0.06668253197837457
0.1,15,0.06668223809811669
0.25,15,0.06668182626874125
0.5,15,0.06668107927059827
0.75,15,0.06648620325905549
0.9,15,0.05906755581258408
0.0,16,0.06251811012891388
0.1,16,0.06251783902695086
0.25,16,0.06251744500104017
0.5,16,0.06251685013121769
0.75,16,0.06265941029542399
0.9,16,0.06907970642373153
0.0,17,0.058843328194472244
0.1,17,0.05884307379600459
0.25,17,0.05884269835617494
0.5,17,0.05884207090886432
0.75,17,0.058733182271554864
0.9,17,0.05311292420552017
0.0,18,0.05557657634493722
0.1,18,0.055576334399149
0.25,18,0.055575978273241615
0.5,18,0.05557541534356899
0.75,18,0.05565895730932962
0.9,18,0.06063224502552644
0.0,19,0.05265342553824095
0.1,19,0.05265319371661212
0.25,19,0.05265285757609796
0.5,19,0.0526523077789009
0.75,19,0.05258475103065319
0.9,19,0.04813476707619144
0.0,20,0.05002233269737709
0.1,20,0.0500221102831061
0.25,20,0.050021794751281996
