F_true,Sim,F_est,Theta,Loglik
0.5,1,0.48968974869039145,10099.02180962485,-209.71670548610484
0.5,2,0.504496204170791,10003.377301275079,-214.26644243649548
0.5,3,0.5062111580647681,10041.341295906659,-210.51241054970058
0.5,4,0.5020947547010924,10030.08178117245,-212.58937787807952
0.5,5,0.5118716087526197,10074.091467588592,-212.84616892887664
0.5,6,0.5163952102339463,9992.886093229099,-212.89358787396634
0.5,7,0.5053635376245841,9971.534989374903,-210.692182340543
0.5,8,0.4830248373500138,9949.51011797924,-211.88404432436096
0.5,9,0.4916515609874052,10017.706198941507,-213.95750284540145
0.5,10,0.4980711921602735,9981.012476349528,-213.80917540860526
0.5,11,0.5134471183259012,10052.25563667995,-210.10522513421802
0.5,12,0.5043532458744248,10082.318424043242,-211.38491608102618
0.5,13,0.507065919119689,9974.060013403714,-213.30256145854128
0.5,14,0.5049002330268554,9967.673661076176,-215.31519126590456
0.5,15,0.5056934736324512,10043.366099559054,-211.27765143122747
0.5,16,0.4929151188971698,9993.720019506682,-213.1908505936484
0.5,17,0.4899468772588739,9893.7322330772,-212.05431957840028
0.5,18,0.4929476595081852,9883.467967915969,-212.62992754900904
0.5,19,0.502962776332341,10061.387831327673,-211.801529250474
0.5,20,0.51841751741377,10042.238696987213,-212.65864460385103
0.5,21,0.5012593493031198,10012.70459282415,-213.70089053693653
0.5,22,0.4902474703331078,10065.083891404085,-212.06692970887832
0.5,23,0.5091980695996632,10035.698978371049,-213.42024944457057
0.5,24,0.49683956104322147,9999.093355167592,-213.70371046606067
0.5,25,0.5148285480722414,9993.672081091658,-214.74735591611272
