F_true,Sim,F_est,Theta,Loglik
0.1,1,0.11349256547309652,10036.820694211516,-212.68095476459746
0.1,2,0.10407057529564101,10031.179418617106,-209.53361605144585
0.1,3,0.09724404413093143,9970.45918728083,-210.12349483209277
0.1,4,0.11817327310725027,10006.557698790673,-212.44958035587354
0.1,5,0.05143208640897987,9926.708082144793,-212.11077067507279
0.1,6,0.10157421189930203,9933.416786727503,-211.20814132669364
0.1,7,0.11348404411962561,10046.318865310444,-214.23385429989526
0.1,8,0.09850493104361607,10008.364329527358,-209.1010027707066
0.1,9,0.09404723790622609,9987.386815959353,-211.4778534420417
0.1,10,0.12940279928666246,10064.40624112115,-214.63356858771522
0.1,11,0.081414827260137,10006.28019481064,-213.38472600665682
0.1,12,0.11758711041094885,9938.112100953267,-210.61155507766307
0.1,13,0.09423252129700294,10046.561533481423,-212.4446985782016
0.1,14,0.1281998989631139,10001.446875424748,-212.5033594834357
0.1,15,0.08197691743477728,9957.110883091436,-212.2947131919534
0.1,16,0.04607390891740254,10035.67861908163,-211.46543344916495
0.1,17,0.08815183300770615,9896.332689900626,-210.8238076814481
0.1,18,0.12232690560122103,9936.1918301639,-213.31309018941545
0.1,19,0.07908468392814326,9997.177443129021,-211.97146483962513
0.1,20,0.10542701544335456,9964.303240948255,-211.40749846335495
0.1,21,0.1192936450091912,10081.337771641902,-212.6040920707859
0.1,22,0.13488533667195568,10112.323906376318,-214.33349260249338
0.1,23,0.08492590166322467,9975.974552155025,-212.14240759155348
0.1,24,0.1223410652920413,9963.859448659012,-213.61946280983227
0.1,25,0.11464252444746942,10050.686104076105,-213.04600872917933
