Sim,F_true,F_est,Nu2_true,Nu2_est,T_true,T_est,M21_true,M21_est,Theta,Loglik
1,0.25,0.18109940391105148,0.1,0.09236183415206191,0.1,0.09648736940657328,0.5,0.6172937014669518,10111.098535407782,-5436.002361327145
2,0.25,0.13386442808651688,0.1,0.09447627409109847,0.1,0.09337118389246116,0.5,0.3845840447788193,10004.168863881852,-5450.064657735001
3,0.25,0.24353340583769745,0.1,0.10097536362226575,0.1,0.10135089853847473,0.5,0.4727483726931457,10000.298833255933,-5458.332324734901
4,0.25,0.22135985308373868,0.1,0.1012426784268814,0.1,0.10340868091285002,0.5,0.5564350078052785,9955.853565678543,-5454.518800672237
5,0.25,0.22318372010930376,0.1,0.09229685590057654,0.1,0.09204915307071239,0.5,0.51126755942864,10113.612454416674,-5452.923294846651
6,0.25,0.1828277792177814,0.1,0.09636649334360643,0.1,0.09862959135582815,0.5,0.4896685355488878,9942.91858139502,-5466.011483608067
7,0.25,0.2218716061981832,0.1,0.09831924769204135,0.1,0.09807018167147537,0.5,0.46349001369587295,9931.089574114529,-5422.1579143375275
8,0.25,0.30522091584726047,0.1,0.10221503527867125,0.1,0.10026681547473157,0.5,0.4964094295829057,10007.423342661112,-5473.956176934443
9,0.25,0.1273604450962649,0.1,0.09903443559395074,0.1,0.10080411001957329,0.5,0.5341314429733706,9982.348986820738,-5494.440276868073
10,0.25,0.2969477181699177,0.1,0.10202138493139873,0.1,0.10386692587512657,0.5,0.5409168404554584,10046.486102451205,-5451.74076342218
11,0.25,0.21833080450136724,0.1,0.09926657530496472,0.1,0.10055630279296814,0.5,0.4720541505908628,10050.690240556954,-5468.729452913751
12,0.25,0.2498259606600496,0.1,0.09698592319518723,0.1,0.09747822230357371,0.5,0.45377205637245144,10028.385490208128,-5469.104070653739
13,0.25,0.17424984980776695,0.1,0.09517094528457144,0.1,0.0962548824178854,0.5,0.46892400757690533,9907.524592944306,-5447.027322951538
14,0.25,0.14541430018038354,0.1,0.10407293167050898,0.1,0.10279161691110078,0.5,0.43645144014692017,9928.770831342446,-5469.718666316143
