Sim,F_true,F_est,Nu0_true,Nu0_est,T_true,T_est,Theta,Loglik
1,0.25,0.25635556093538,0.1,0.09301452712411525,0.1,0.1012899607505677,10118.869728344991,-212.29079580709788
2,0.25,0.23975828858245982,0.1,0.10450748956147381,0.1,0.09869714908255861,9964.915395346317,-209.2891302401821
3,0.25,0.21999260859873226,0.1,0.09295442024491152,0.1,0.09509036813267284,9994.80672875863,-208.67200386041577
4,0.25,0.22868499971900497,0.1,0.09840552629092264,0.1,0.09211473531458123,9849.399897260795,-210.1406320435492
5,0.25,0.27514953300090855,0.1,0.10848644075238727,0.1,0.10513408396228945,9856.827095854547,-209.0998477503191
6,0.25,0.2721942360116804,0.1,0.10208924095850447,0.1,0.1034945548536703,9992.138979240772,-207.64636951780176
7,0.25,0.27457006293252345,0.1,0.10248074701480389,0.1,0.09962339436924347,9941.642231578837,-212.4764427096884
8,0.25,0.279372835442782,0.1,0.10330669230519038,0.1,0.0993570004354661,9903.931140150225,-208.49316051489222
9,0.25,0.2816800498657901,0.1,0.09482658443569487,0.1,0.09717572122927055,10095.479408399628,-208.3858650695613
10,0.25,0.2679453559727402,0.1,0.09789237886010307,0.1,0.10115897230972494,10115.930244247455,-211.92672532642518
11,0.25,0.21364432860909208,0.1,0.09015015476800167,0.1,0.09314612057010645,10124.85877501857,-208.78410258089173
12,0.25,0.23983261570481723,0.1,0.09486401427086873,0.1,0.09280276520525789,9957.851720158846,-209.12155799127754
13,0.25,0.24607357194902202,0.1,0.10158561730417977,0.1,0.09727376983670546,9917.212023269001,-211.88864561504386
14,0.25,0.2637799577798157,0.1,0.10633009861154043,0.1,0.10186976825080721,10032.111711437414,-210.72141153673533
15,0.25,0.22816782172790132,0.1,0.10078090328699785,0.1,0.09462358339114338,9909.42428789981,-207.12253803395845
16,0.25,0.1898152891896066,0.1,0.0952645309045289,0.1,0.09269408191520451,9907.315739379648,-211.01048655659065
17,0.25,0.20294781639153545,0.1,0.10242254532060804,0.1,0.0919275351330802,9816.58097615729,-209.84643401959204
18,0.25,0.2831804119993503,0.1,0.10744150160854432,0.1,0.10515950417052984,9904.402624356371,-208.31579405085392
19,0.25,0.2531492922114069,0.1,0.0991663473116316,0.1,0.09932146490375196,10078.95799904275,-207.8173409199212
20,0.25,0.21249844781313712,0.1,0.09447117137323006,0.1,0.09292645354789246,9903.4620683434,-211.8348799881802
1,0.25,0.2565382953974087,0.1,0.09268882853451724,0.2,0.19578697038973467,10262.02953816369,-206.90071062955565
2,0.25,0.24224993142193163,0.1,0.10446710252120676,0.2,0.19698893503725443,9787.087642978386,-204.43840167122812
3,0.25,0.27590622123575187,0.1,0.10401187579276433,0.2,0.21248607549129922,9901.573097823511,-207.5425831901083
4,0.25,0.23774334003034653,0.1,0.09488681636469143,0.2,0.18369762528181077,9958.7919457836,-205.08356474014397
5,0.25,0.25352425632807596,0.1,0.09318203295199583,0.2,0.18659206660173247,10121.378968510788,-208.0858397734596
6,0.25,0.28164798642625594,0.1,0.10315219796814591,0.2,0.19792111257745323,9910.902644386573,-200.5161114677593
7,0.25,0.2982160905933205,0.1,0.10584591292361939,0.2,0.21746884719502294,10031.673539712809,-201.74301087175127
8,0.25,0.25853643851591274,0.1,0.09382869133498448,0.2,0.19908588127164517,10149.64806159155,-203.32310412989796
9,0.25,0.2149262988854991,0.1,0.1231846741955255,0.2,0.2069250062619218,9338.121133249813,-206.57164030477702
10,0.25,0.23653248072063804,0.1,0.10425117280986307,0.2,0.2032772313387629,9899.708876638419,-205.1615673970789
11,0.25,0.20945004493571998,0.1,0.10301018585654424,0.2,0.19241872918080186,9912.559983445495,-205.4628139941292
12,0.25,0.24047319338595616,0.1,0.11913964407354449,0.2,0.20867600091160457,9472.137050152358,-206.62095540760458
13,0.25,0.22984464212993527,0.1,0.10276392846272517,0.2,0.19819352326470802,9968.916886453204,-205.80973686054529
14,0.25,0.2727989041304404,0.1,0.08396438245012332,0.2,0.1865093295801411,10478.076238276522,-205.6541610333128
15,0.25,0.18439362119965336,0.1,0.12838642967746142,0.2,0.20734773918533006,9149.658080867217,-205.55307113428466
16,0.25,0.21914378822616234,0.1,0.1035863214644201,0.2,0.19361206424372313,9680.71748920843,-204.82830183596207
17,0.25,0.18367034523768874,0.1,0.12856178420158507,0.2,0.21333027912316843,9031.916711225196,-207.9166884421943
18,0.25,0.24601663746133307,0.1,0.08947223487277063,0.2,0.19274736229430228,10257.81562996604,-205.61934194255434
19,0.25,0.293495591338222,0.1,0.09391310136002291,0.2,0.19813001355207488,10259.163025305474,-203.75833664241406
20,0.25,0.2770436673789869,0.1,0.10598746129565689,0.2,0.20052438956083626,9785.294727850693,-205.83692777932208
1,0.25,0.21561169094628704,0.1,0.11960186594880186,0.3,0.3215571012779386,9516.960440770385,-200.35474769659254
2,0.25,0.23533692499292042,0.1,0.10669559858931907,0.3,0.3200117740269395,9908.668191479057,-202.5717620043157
3,0.25,0.23460405185793243,0.1,0.1153661584038872,0.3,0.3164697078086494,9705.207660336418,-202.57841083811638
4,0.25,0.22733961888803136,0.1,0.1254662675952046,0.3,0.32432659000404274,9257.964107804493,-199.6776570383122
5,0.25,0.21831729784509923,0.1,0.10968715079912271,0.3,0.3025789994362217,9625.776810261823,-201.28304015038657
6,0.25,0.21499152308268044,0.1,0.12447373851236375,0.3,0.32988123189399826,9363.958989285995,-199.28500619395243
7,0.25,0.26850439135914544,0.1,0.08996269143270115,0.3,0.2882496518600951,10371.094967665182,-197.79841618802573
8,0.25,0.2625230908087961,0.1,0.10091305612860789,0.3,0.2825549994300712,9944.902024102797,-201.9647046803691
9,0.25,0.18983746065975096,0.1,0.10764664253094874,0.3,0.3095147444391187,9700.394760208972,-202.54380427909246
10,0.25,0.24473157021197237,0.1,0.10698489480760032,0.3,0.30432829975745107,9819.718449912643,-199.25463772690023
11,0.25,0.23021528637299893,0.1,0.10083713630126051,0.3,0.2876945347842688,9844.878755398677,-202.33134980283057
12,0.25,0.27923833516195556,0.1,0.08152925164244788,0.3,0.2776008435553053,10666.170632754804,-196.24754546329746
13,0.25,0.2287661885223763,0.1,0.1086467250654517,0.3,0.3102810037691569,9607.288201507368,-202.72146806207058
