Sim,F_true,F_est,Nu0_true,Nu0_est,T_true,T_est,Theta,Loglik
1,0.9,0.900500076453457,0.1,0.10870077913039584,0.1,0.11351128619210896,9928.918870960126,-211.90583906875642
2,0.9,0.8958734724049846,0.1,0.11215519712940798,0.1,0.10137541038584794,9715.894855552726,-212.77134531964188
3,0.9,0.8995659192900675,0.1,0.09285096558397467,0.1,0.09917649323991007,10237.81819736001,-218.2110071894435
4,0.9,0.9010706934396144,0.1,0.1020109853519171,0.1,0.1010687396322882,9919.47903023786,-214.6157389584847
5,0.9,0.897355912576419,0.1,0.08940300298051086,0.1,0.10540433824158477,10512.015244812572,-219.0010775581049
6,0.9,0.9026935785705854,0.1,0.10232706290393805,0.1,0.0940683062707101,9833.63179443471,-216.2938215219244
7,0.9,0.9005002783333026,0.1,0.11279696037389403,0.1,0.10986283390432373,9895.32330090031,-211.3413372140975
8,0.9,0.9018200576766885,0.1,0.10312701929589409,0.1,0.11131492197542635,10129.421331959747,-210.01247022101683
9,0.9,0.8964255863021223,0.1,0.10556029655027437,0.1,0.11382963646165062,10104.877458207588,-211.15999747004713
10,0.9,0.8966347586145156,0.1,0.09766828573802874,0.1,0.10152611069856597,10117.399027731164,-211.40969547014407
11,0.9,0.9033334293457986,0.1,0.1060268688267137,0.1,0.10689192772303416,10005.400556854653,-208.8968809725361
12,0.9,0.8946848544009363,0.1,0.09900359227887236,0.1,0.096588633561521,9944.529751375041,-211.13348422922127
13,0.9,0.9051742783611599,0.1,0.11244598196974621,0.1,0.10403390892547487,9845.968950237879,-212.4874360287043
14,0.9,0.8974750416442457,0.1,0.08040711337008279,0.1,0.08413050487552655,10149.799348338567,-216.38165925807394
15,0.9,0.8982396866334718,0.1,0.09478668317367674,0.1,0.10366593079547286,10206.005320023578,-217.82659208844194
16,0.9,0.8973955197790646,0.1,0.10534711755465283,0.1,0.10612689344456747,9913.465872201992,-207.3789507068962
17,0.9,0.8975684286506567,0.1,0.10224658425947866,0.1,0.10755355159581845,10117.078727344906,-213.31595591727802
18,0.9,0.8967374119479774,0.1,0.10878091545184951,0.1,0.11161946851942303,10006.962816694171,-215.56498129245583
19,0.9,0.9008029590719109,0.1,0.09465745512429628,0.1,0.0900758663766944,10016.869739803782,-214.68790085667513
20,0.9,0.8954541448628092,0.1,0.10668557091920304,0.1,0.1058150181165809,9879.027133658934,-213.52782327254238
1,0.9,0.9043498033289228,0.1,0.10960469142768131,0.2,0.20687282181118002,9770.365082061599,-207.3965504668165
