Sim,F_true,F_est,Nu2_true,Nu2_est,T_true,T_est,M21_true,M21_est,Theta,Loglik
1,0.5,0.5127920064204069,0.1,0.09255207653112203,0.1,0.08792807086172477,0.5,0.3565280746192271,9994.423527926483,-5439.280022223724
2,0.5,0.45595263434003785,0.1,0.09935852100526796,0.1,0.09853601104745176,0.5,0.3723957191810029,9986.114067921355,-5433.706960594473
3,0.5,0.5245776350406383,0.1,0.10383986152475051,0.1,0.10032600750633419,0.5,0.4498909439980696,9995.107487481702,-5409.419575982357
4,0.5,0.32304492974625704,0.1,0.09622387060594866,0.1,0.09658631832775029,0.5,0.5148765386931152,9932.07008513876,-5406.189604231472
5,0.5,0.4783686071294497,0.1,0.09496413911408932,0.1,0.0982570967108949,0.5,0.5613340032069897,10079.713154639478,-5468.313475975228
6,0.5,0.6112479234170468,0.1,0.09737709036686482,0.1,0.09850534836311098,0.5,0.6056444958764549,10036.816295429928,-5420.361741662043
7,0.5,0.3494632268551455,0.1,0.10701038720175753,0.1,0.1067924403343662,0.5,0.47415154925190023,9814.461343322146,-5440.1642800051195
8,0.5,0.4577458621272192,0.1,0.09885025433970612,0.1,0.09755887762810127,0.5,0.467129356913236,10005.887362672034,-5427.333182806767
9,0.5,0.4771676095966713,0.1,0.10031752558991765,0.1,0.09881243054197217,0.5,0.45569915452859194,9963.103638280867,-5449.278895592263
10,0.5,0.48540539559020457,0.1,0.0991087798759859,0.1,0.0975108112816057,0.5,0.4977109532359787,9997.143731712957,-5462.439091742794
11,0.5,0.40686784876223486,0.1,0.09896144397108317,0.1,0.09868472097018839,0.5,0.40069548918141895,9943.633571838121,-5467.199331014262
12,0.5,0.48164369577768246,0.1,0.09468012458536341,0.1,0.0955770188867904,0.5,0.46300007295422335,10029.777669623209,-5451.601297910908
13,0.5,0.45532360172580105,0.1,0.10231551801598401,0.1,0.1016161478804814,0.5,0.4319745498798043,9912.710526518416,-5455.28356120629
14,0.5,0.53061246386608,0.1,0.10131523441499544,0.1,0.10034925742171888,0.5,0.5935107145995736,9928.698444563011,-5452.080331538175
15,0.5,0.45154321312004847,0.1,0.10075147727089602,0.1,0.10273769970000447,0.5,0.5365230394305653,9929.525985462444,-5421.946458765851
16,0.5,0.3566746141522777,0.1,0.09382190502412975,0.1,0.09240860720413768,0.5,0.4380388445575861,10081.451556619892,-5452.185945637139
17,0.5,0.44339074092403835,0.1,0.0980108598565497,0.1,0.09864602660766729,0.5,0.4944738151468932,10002.296236664502,-5442.65456626625
18,0.5,0.5716855547862105,0.1,0.09844948194785584,0.1,0.09979444030585866,0.5,0.5363172116397482,9946.511726341478,-5450.428033509334
19,0.5,0.41778593152372867,0.1,0.09592398770194138,0.1,0.0916146317263327,0.5,0.3505138032528089,10027.482886401613,-5443.364647094821
20,0.5,0.5145954125770786,0.1,0.101007187261637,0.1,0.09596836540885786,0.5,0.388093750878595,10021.274383689903,-5460.364823680972
1,0.5,0.509135250629316,0.1,0.09666362791654104,0.1,0.09308491648849782,1.0,0.8720907333935823,10026.84018656198,-5551.476958017074
2,0.5,0.40837042185838757,0.1,0.09860857019492447,0.1,0.09837634817021593,1.0,0.9325498921194885,9982.74690790525,-5560.821675927247
