Sim,F_true,F_est,Nu0_true,Nu0_est,T_true,T_est,Theta,Loglik
1,0.5,0.5085143890548376,0.1,0.10144856651686522,0.1,0.09695404802540346,9870.348447075845,-208.89946988671045
2,0.5,0.47689572364533583,0.1,0.0966258494916934,0.1,0.09896133893448658,10066.879055577745,-209.91223125981412
3,0.5,0.5073872824284092,0.1,0.1077246244632325,0.1,0.10049471545164865,9926.498494293168,-214.33212113312425
4,0.5,0.4865663143773239,0.1,0.11885291879480406,0.1,0.10105195874243304,9631.970453730097,-213.1919980044819
5,0.5,0.4914352315945953,0.1,0.11057742106277083,0.1,0.10588348754764752,9754.090693455157,-212.79244009406534
6,0.5,0.481938475591887,0.1,0.10223978277818836,0.1,0.09471848664242477,9722.265791602047,-214.04284285218966
7,0.5,0.5157178307635323,0.1,0.09319267961673937,0.1,0.09822702911753932,10173.455375979625,-211.8031046683152
8,0.5,0.5003494142665139,0.1,0.0973924190795393,0.1,0.09430351570649645,9972.870108826513,-212.79652195839662
9,0.5,0.4816845931770945,0.1,0.1010368645825786,0.1,0.1004688592344829,9959.475233115427,-211.1937730792339
10,0.5,0.49591291210165755,0.1,0.10119217831918499,0.1,0.09571348354902644,9834.761738496849,-213.9444676595108
11,0.5,0.5166140877473779,0.1,0.10647710895768027,0.1,0.09708399722608539,9890.36813034582,-213.20038244531474
12,0.5,0.48550433616847455,0.1,0.09841280192728688,0.1,0.0971723158178617,9987.056881463248,-208.08151241914288
13,0.5,0.5197805160413483,0.1,0.10378577536752512,0.1,0.10393522824104852,10004.927174002398,-208.93068613683204
14,0.5,0.4913349238652653,0.1,0.09520402993890507,0.1,0.0971851303832564,10004.05115829128,-209.18560512453166
15,0.5,0.48498001211728087,0.1,0.09885148347439386,0.1,0.09945830079479462,10151.034952549773,-210.32538363060735
16,0.5,0.5055050410899943,0.1,0.10257689343148835,0.1,0.1069293016356027,9995.377190521613,-210.0039324327388
17,0.5,0.4911020650374568,0.1,0.11154559976634593,0.1,0.10190254833727115,9643.384767554704,-207.0585755295674
18,0.5,0.4900516003434918,0.1,0.10476293485532788,0.1,0.10464611598094868,10020.063482736756,-208.43783778283318
19,0.5,0.5071778213479531,0.1,0.10205128891358989,0.1,0.0943440323838474,9888.237007334867,-212.81056452414657
20,0.5,0.5053662081036724,0.1,0.09170674092661343,0.1,0.10159292364046986,10294.16879749576,-213.14665675202616
1,0.5,0.5240881344653652,0.1,0.09943513757978073,0.2,0.1901129012064358,9829.274732246673,-209.20773857965048
2,0.5,0.49811245189193226,0.1,0.092904818455415,0.2,0.18915245177307902,10164.202291682204,-207.79631757987192
3,0.5,0.5085307738035391,0.1,0.0952689011224848,0.2,0.1895163055867631,10092.781186847827,-208.74799894898
4,0.5,0.5129340261351751,0.1,0.09612671904421528,0.2,0.19335171811234958,10016.35057964501,-205.3842715442397
5,0.5,0.5004823919470796,0.1,0.09989452453225986,0.2,0.19702574105140905,9942.0101000947,-206.82976400924815
6,0.5,0.5007155688996692,0.1,0.08855338470973265,0.2,0.18453895614952784,10276.32959539756,-206.81851557891582
