F_true,Sim,F_est,Theta,Loglik
0.25,1,0.2515920606357715,10063.156778792774,-214.17349223410508
0.25,2,0.24823973379693395,10051.264006661473,-212.06042146800587
0.25,3,0.2555239693543123,9953.889485648899,-211.01332551577582
0.25,4,0.2581810111687434,10003.351065220622,-211.05715594510207
0.25,5,0.26503369878530275,9990.922067948926,-214.82346869679395
0.25,6,0.2694623921005803,10038.739151954218,-212.1809427097769
0.25,7,0.25844077613484395,9991.015853913821,-211.7659217673879
0.25,8,0.2148642739307467,9885.416078543009,-212.14893618921462
0.25,9,0.23417205790504805,9918.867024315687,-211.0543291131994
0.25,10,0.2684085238071573,9979.330586328828,-210.99560795483444
0.25,11,0.2146329811685845,10008.485969322559,-211.66816992288364
0.25,12,0.24633930443278354,10116.869093337646,-211.92553016635463
0.25,13,0.22594494298335163,9994.89036403298,-209.29164112805267
0.25,14,0.25037026712350546,9962.435771665305,-214.7606031222706
0.25,15,0.28808225829584305,10131.509909258357,-212.00507760973858
0.25,16,0.2621493667816918,10035.48219562113,-215.20824579259954
0.25,17,0.2808526502200471,10027.752788464995,-212.14200383273862
0.25,18,0.25755250949767283,9949.691148191612,-212.28056734287293
0.25,19,0.24882022881552834,10044.444011420243,-209.8585733754354
0.25,20,0.25731173595009565,10039.99944675557,-212.10640386367993
0.25,21,0.2349902050007613,10012.603877148924,-212.3789242732007
0.25,22,0.22467082232009633,9951.422538015366,-212.3567294386845
0.25,23,0.23432064847875553,10007.806184902343,-214.2777835932203
0.25,24,0.22021263729422433,9927.6892114658,-210.4869888282592
0.25,25,0.23866767750808207,9964.588118997568,-211.88187534190092
