Sim,F_true,F_est,Nu2_true,Nu2_est,T_true,T_est,M21_true,M21_est,Theta,Loglik
1,0.9,0.893284398858411,0.1,0.08208557052565546,0.1,0.08406502385211811,0.5,0.6433373050356094,10189.152349476828,-5386.025548586631
2,0.9,0.8953318035704698,0.1,0.09144705351512027,0.1,0.09573406958025557,0.5,0.7979880796929253,9974.75997000918,-5377.603936851491
3,0.9,0.8987477829913528,0.1,0.10464467271163606,0.1,0.09936810318091659,0.5,0.36868228125952923,9921.367167141314,-5397.900405795921
4,0.9,0.9011994497158525,0.1,0.1085805360335771,0.1,0.1036712012164136,0.5,0.3063647698122545,9843.885800196227,-5395.692719309098
5,0.9,0.9012355914004833,0.1,0.09939083355674531,0.1,0.09830756470624107,0.5,0.3765509912136074,10058.753628855931,-5427.9153917168505
6,0.9,0.901127596561519,0.1,0.09822794048706338,0.1,0.099570700158862,0.5,0.4443365614194745,10076.22594619058,-5403.699448532922
7,0.9,0.9017629499097966,0.1,0.10059951381491965,0.1,0.10016988793670686,0.5,0.5196875146498245,10034.86282200011,-5367.4053234045805
8,0.9,0.8934974450502211,0.1,0.09776982263036246,0.1,0.10160808460176288,0.5,0.6532314419218385,9937.298973886904,-5376.304324849532
9,0.9,0.9038791351392829,0.1,0.10248418347941063,0.1,0.10590910235677821,0.5,0.37045450401540797,9974.819413972662,-5399.90169023726
10,0.9,0.8780762708529353,0.1,0.1024058484378212,0.1,0.10026487623611512,0.5,0.37147135689009425,9979.437532806334,-5319.866001738819
11,0.9,0.8960311542090809,0.1,0.09792583593342143,0.1,0.09473421703208354,0.5,0.31048407066214395,9970.154481375534,-5342.360000670221
12,0.9,0.8979353054772482,0.1,0.09634998285592306,0.1,0.09302238160600333,0.5,0.4567539648025685,10048.698037727863,-5380.1845694129825
13,0.9,0.8957510690338548,0.1,0.0926360472561171,0.1,0.09920985159070514,0.5,0.6740772957440982,9993.686974054655,-5372.192127034866
14,0.9,0.8972179748834324,0.1,0.09562105958632783,0.1,0.09511538398141495,0.5,0.47191102347141645,10004.216814578374,-5328.29680399337
15,0.9,0.8902653311868943,0.1,0.10238324213220683,0.1,0.1004151171748007,0.5,0.3206044117981557,9968.959191222115,-5365.0542589764955
16,0.9,0.9083386318820106,0.1,0.0957617933582702,0.1,0.09894894041668705,0.5,0.6518850668291413,9994.496361229096,-5373.224288896543
17,0.9,0.8909675292858135,0.1,0.10029059443910014,0.1,0.0959326592137156,0.5,0.32663625190983675,9967.87139369269,-5406.427419814192
18,0.9,0.8985373336325528,0.1,0.10013646799735784,0.1,0.09797015981527647,0.5,0.40279118361997485,10003.750796003796,-5377.536781658368
19,0.9,0.8946531956334547,0.1,0.09911063671098924,0.1,0.09856604470315518,0.5,0.40294519094723547,10023.60678622825,-5390.229608608018
20,0.9,0.8973942577498687,0.1,0.10653389853912919,0.1,0.10448829074264009,0.5,0.3136020797431211,9961.160944644935,-5388.607303826453
1,0.9,0.9089738284889632,0.1,0.0935685501979748,0.1,0.09301696990310399,1.0,1.0156900282202983,10015.815044365881,-5470.950897054137
2,0.9,0.9047617138434902,0.1,0.09266478837147853,0.1,0.09440060169147607,1.0,1.3699331013464404,9974.354568443227,-5484.114334804681
3,0.9,0.8912319652699805,0.1,0.10059868203431915,0.1,0.104452404899608,1.0,1.1071986288555937,9993.676611006964,-5469.723178589939
4,0.9,0.8938754893971467,0.1,0.08770672072950152,0.1,0.09882435343491058,1.0,1.4594119052662045,10098.812415601767,-5524.072912668491
5,0.9,0.8941233169918027,0.1,0.09793713882589451,0.1,0.09461702879136483,1.0,0.6939521291847386,9993.40891008157,-5457.708904874782
