Sim,F_true,F_est,Nu2_true,Nu2_est,T_true,T_est,M21_true,M21_est,Theta,Loglik
1,0.1,0.09018405516467723,0.1,0.0974798116114298,0.1,0.09705237455443667,0.5,0.5048054040010163,10039.178611875504,-5414.928007428487
2,0.1,0.1526351658003538,0.1,0.1010639405571674,0.1,0.09869475386707474,0.5,0.4783365037369131,9941.691726865329,-5471.704008787597
3,0.1,0.056958131029933676,0.1,0.09444141267211603,0.1,0.09462251214114889,0.5,0.45535575236564063,9950.95121599962,-5451.911361383047
4,0.1,0.09153363701665578,0.1,0.10043804990049902,0.1,0.09986464591089382,0.5,0.4906425588355273,9972.090832727932,-5457.617610673897
5,0.1,0.13203705379826677,0.1,0.10339459697825752,0.1,0.10377349002638425,0.5,0.5219313079963286,9920.917814570039,-5450.846061898808
6,0.1,0.05032667191690686,0.1,0.0968808690694209,0.1,0.0952849723555302,0.5,0.42691409499314176,10041.578244301607,-5462.197125497707
7,0.1,0.09900676351385058,0.1,0.10408688089171149,0.1,0.10375750873948673,0.5,0.5331865856685167,10007.193241621408,-5443.041169045924
8,0.1,0.14336736939979536,0.1,0.09594984429572388,0.1,0.09549343782819829,0.5,0.41196721019713184,10033.816113217823,-5479.722946343189
9,0.1,0.10505774345671659,0.1,0.1027449575188419,0.1,0.0996719558981616,0.5,0.4615167623806289,9973.715283532563,-5452.241823501671
10,0.1,0.15223411978526588,0.1,0.09297025460705934,0.1,0.09044096448081981,0.5,0.45637512039903494,10052.339020219992,-5487.519953210477
11,0.1,0.1469779582315339,0.1,0.09975733430013774,0.1,0.09764677239845078,0.5,0.39855988259994224,9967.0241988392,-5471.991843775013
12,0.1,0.08660964373103018,0.1,0.09524257608550347,0.1,0.09828664060161736,0.5,0.5703995927224903,10088.984008098585,-5467.437081334222
13,0.1,0.10746454361236649,0.1,0.10170546339928417,0.1,0.09746335214358375,0.5,0.4394219499104188,9938.717502988879,-5394.662156002401
14,0.1,0.09886647587610456,0.1,0.09993810412854522,0.1,0.09940003122405335,0.5,0.4591372897323022,9974.985416732165,-5463.341256418306
15,0.1,0.1623830275981158,0.1,0.0990667981366221,0.1,0.09774927480541246,0.5,0.45612791437944433,10049.168505472302,-5457.251831134141
16,0.1,0.053233120581143045,0.1,0.10357716578439717,0.1,0.10553760192377076,0.5,0.5214975503791263,9891.019471284679,-5457.063402445909
17,0.1,0.1799440190800144,0.1,0.09664422433912379,0.1,0.0967779824654456,0.5,0.5498334970627149,10080.633645491016,-5478.801554654452
18,0.1,0.07226855453501846,0.1,0.1004263711321321,0.1,0.09989821921003524,0.5,0.43635380628011283,10004.279796320776,-5447.229056860466
19,0.1,0.16395091275680218,0.1,0.10210197053897187,0.1,0.10184616139768306,0.5,0.5102642905243356,9965.4739999644,-5465.521201566154
20,0.1,0.12538086429770817,0.1,0.09146888950179703,0.1,0.09096314055826664,0.5,0.4278318344777189,10140.451253011952,-5482.5097198599215
1,0.1,0.16989582495810843,0.1,0.09461901533891412,0.1,0.09836629233044933,1.0,1.1027245581305907,9958.097111624718,-5591.780868611095
2,0.1,0.07308937808798793,0.1,0.09925054589380163,0.1,0.10288796816660953,1.0,1.0315354367423626,9998.687575170512,-5530.706689962059
3,0.1,0.09699908091903955,0.1,0.09697719225715598,0.1,0.09925032545364039,1.0,1.054409124826136,9958.027179928764,-5553.04084595045
4,0.1,0.07776037879720397,0.1,0.09661088830802282,0.1,0.10054858265079511,1.0,1.2640366120635045,10022.652257852622,-5560.408572267994
5,0.1,0.11598006840966432,0.1,0.09632771641111237,0.1,0.10053116956185487,1.0,1.1018067725818077,9890.145580653278,-5532.749827225094
6,0.1,0.13081674314773087,0.1,0.10235498661010861,0.1,0.10396227928620058,1.0,1.092191746488859,9928.850991843368,-5573.358135615692
7,0.1,0.15726906118098893,0.1,0.09997880492413212,0.1,0.09820145851023793,1.0,0.8511131110668471,10009.715152205563,-5564.545622060278
8,0.1,0.14404423678259676,0.1,0.10089650998014774,0.1,0.10204933123451827,1.0,1.09940588452898,9937.20126956182,-5524.201307376406
9,0.1,0.13458887603618802,0.1,0.09997013295686946,0.1,0.1037524136157017,1.0,1.1145185996859124,9969.758378429977,-5570.507438920112
10,0.1,0.13625459329761708,0.1,0.09928292985892705,0.1,0.09569720707182011,1.0,0.8682251914428217,9945.972701499197,-5532.083461392555
11,0.1,0.08181670815845313,0.1,0.10278380141688756,0.1,0.1038658703731118,1.0,0.9320535328183791,9956.412531639397,-5540.354766738057
12,0.1,0.16286471290272633,0.1,0.09719835012963508,0.1,0.09492429277790232,1.0,0.9579731089526415,10044.732639951053,-5506.838942405273
13,0.1,0.05592600849644747,0.1,0.10004444968100903,0.1,0.09721671857775542,1.0,0.9425572072944637,10004.42235565858,-5549.945928608295
14,0.1,0.13180248845677775,0.1,0.10447094574625389,0.1,0.10616293553982906,1.0,0.9611371502722307,9901.520177541244,-5547.797139818941
15,0.1,0.06360994227548566,0.1,0.10128875244472821,0.1,0.09736957545780599,1.0,1.0111800626388951,9925.699862179588,-5550.235553233893
16,0.1,0.16380055539337715,0.1,0.09967072294914049,0.1,0.1017090432135092,1.0,1.0119312842154875,10012.155746696491,-5537.447410148037
17,0.1,0.057132623028134426,0.1,0.09617491916146131,0.1,0.09602928590526608,1.0,0.9678873296071785,10033.706591817523,-5573.282616102266
18,0.1,0.14901357403367613,0.1,0.09865686202591854,0.1,0.09691984717524443,1.0,0.9845494208706238,10086.064202939913,-5519.756959492257
19,0.1,0.1022126931137439,0.1,0.09703824415038896,0.1,0.09467176175580445,1.0,0.8891278859973278,9998.74954745181,-5552.554058887056
20,0.1,0.13146111965868598,0.1,0.10418543355831611,0.1,0.10809009055847212,1.0,1.061216726377025,9956.615646048744,-5527.0898611849125
1,0.1,0.0641205127318056,0.1,0.10055841798129396,0.1,0.10033929030702546,1.5,1.5294242519265344,9936.297470063393,-5616.467699614796
2,0.1,0.058896494955257554,0.1,0.09753120710554503,0.1,0.10122639953653755,1.5,1.5952752780108561,10009.433555754316,-5616.456055280997
3,0.1,0.14467213705736284,0.1,0.10123331001491087,0.1,0.10172484630243797,1.5,1.3949136929497403,9955.247205125166,-5635.5843161969515
4,0.1,0.09981591302241273,0.1,0.10030168205685372,0.1,0.10633972728717232,1.5,1.6962419111661335,9949.78317231645,-5635.766435296864
5,0.1,0.12439907723054566,0.1,0.0985237217155051,0.1,0.0959285179250604,1.5,1.4461868649429799,10011.987609440162,-5618.222995137092
6,0.1,0.06211284569125109,0.1,0.10102972305792775,0.1,0.09814544122760617,1.5,1.3461450572617106,9980.490476301853,-5616.884124691178
7,0.1,0.08616690553736152,0.1,0.09778431253998249,0.1,0.10047367114668417,1.5,1.5767515616990442,9979.847837795513,-5654.639155791589
8,0.1,0.1554282855947349,0.1,0.09908190361124447,0.1,0.10443871212301069,1.5,1.7833508525263597,9994.913600299637,-5617.861448218286
9,0.1,0.11539737587844291,0.1,0.09959201610719713,0.1,0.09974372843501607,1.5,1.5022339241851572,9984.951560133995,-5615.89577079024
10,0.1,0.18587164926639232,0.1,0.09640225311918563,0.1,0.09725836620722221,1.5,1.5663512738890133,10067.709209425791,-5618.546853385134
11,0.1,0.07828087334198144,0.1,0.10831245184309266,0.1,0.10105786811626712,1.5,1.3807811927605471,9880.261036904798,-5628.842079503142
12,0.1,0.16537855696130682,0.1,0.10065383574618325,0.1,0.10026822312534889,1.5,1.616872501850145,9975.522287783679,-5650.959876342926
13,0.1,0.14141634762233277,0.1,0.10893588182227636,0.1,0.10619877705762808,1.5,1.327199340221377,9895.702811924828,-5625.569134824573
14,0.1,0.16187518096172013,0.1,0.09832157090677611,0.1,0.09965892834890874,1.5,1.5915522132705584,10041.478815215132,-5640.232426450282
15,0.1,0.11724525012956476,0.1,0.09520048000774987,0.1,0.09396689153336955,1.5,1.5484922754855175,9958.44801476505,-5644.586788477241
16,0.1,0.18025501998512694,0.1,0.10305334284237284,0.1,0.09753447206894317,1.5,1.4150397598670106,9993.150756356814,-5639.931620635936
17,0.1,0.15719447034081582,0.1,0.10578001500345605,0.1,0.10398729914963022,1.5,1.3526272272482889,9958.520581616962,-5613.6460464614365
18,0.1,0.11470625500251831,0.1,0.09981919984108523,0.1,0.09947966257744781,1.5,1.359539096029081,9988.701196277474,-5624.033143757227
19,0.1,0.0650049933970378,0.1,0.10040106188711773,0.1,0.10084409427118154,1.5,1.6644151721189548,9902.410392964593,-5625.25834362391
20,0.1,0.12209581581803135,0.1,0.10093666875299177,0.1,0.09937808742800341,1.5,1.3815023931217103,9964.00559234592,-5638.809987319031
1,0.1,0.05248115994231837,0.1,0.10219592560888772,0.2,0.22034391828450064,0.5,0.6143769078907252,9960.441468157664,-4666.16656536416
2,0.1,0.1457227618997705,0.1,0.09863405908008484,0.2,0.20776502192672996,0.5,0.6240307846046852,9934.964691645224,-4642.078387194912
3,0.1,0.09122110085856473,0.1,0.10107718762909088,0.2,0.20071648082896693,0.5,0.4631759770513839,10068.604632561544,-4647.885502749647
