F_true,Sim,F_est,Theta,Loglik
0.75,1,0.751462746437194,10001.69083682136,-214.19179378919512
0.75,2,0.754249282023208,10041.387833374343,-211.23907277362252
0.75,3,0.7501535346831606,9983.534024173849,-213.05157717183943
0.75,4,0.7443319075117981,9987.049316090686,-213.3479303976244
0.75,5,0.746386210434106,10058.405603026427,-212.23264691740258
0.75,6,0.7516919957068292,10055.691139003751,-209.8436539466897
0.75,7,0.7500206333359252,10016.776487875179,-212.59064547162183
0.75,8,0.7479404889599757,10030.563698150083,-212.5715133936319
0.75,9,0.7470657274385816,10061.033985944843,-208.259892229711
0.75,10,0.7455906577419898,10022.062551299497,-212.62841868224797
0.75,11,0.7484471649626943,10039.340395014726,-211.40650102314964
0.75,12,0.7487556237356265,9946.459505901803,-214.44401088541173
0.75,13,0.7534136482543189,10026.670564407717,-214.4799972362175
0.75,14,0.7549683979688381,9943.223138077905,-211.1711630211281
0.75,15,0.7531995896348598,9975.435556509363,-213.27111106062586
0.75,16,0.7564508737122626,9971.013354107194,-213.13052278063492
0.75,17,0.7474096377530506,9940.006685023262,-211.99524580480704
0.75,18,0.7460759219737783,9978.813485930508,-213.49707104628374
0.75,19,0.7510461983441923,9979.585463504965,-213.33430462583954
0.75,20,0.7475859398990696,9915.864473181682,-213.28810270453846
0.75,21,0.753225706182141,10050.311482723115,-213.72418899651046
0.75,22,0.751828266043862,9935.38532592978,-213.24122066470937
0.75,23,0.7559213693114498,9946.402775527422,-213.06576406140448
0.75,24,0.747309380798815,10020.53772989161,-213.92636484259407
0.75,25,0.7469222112213684,9981.266425008189,-213.563816286899
