nuBot,nuCur,TBot,TCur,LogLik,Theta
0.001,0.7467070997886,1.868335287650058,1.0584355484895311,-53496.18841394804,903895.4572130664
0.001,1.5546512925551275,0.9287801607747385,2.204746381498248,-53496.16866782418,434146.1377930421
0.001,0.29469243685252466,0.6160357273573696,0.41710751663650664,-53496.24725561922,2290342.1804829976
2.5591900513419903,0.053084627974604275,0.2637737319756145,0.001,-24976.489730591915,452286.12973101495
0.001,1.438008985330796,0.28145122765095715,2.039254566588494,-53496.17014239267,469361.31191500655
0.001,1.318038663042861,0.9695838278709588,1.869042086454613,-53496.17193240872,512083.31304651155
0.001,1.9623647609948256,0.48215664387950663,2.7832185197121304,-53496.16489508454,343944.9822721368
0.001,0.27827537928927515,0.8265711404472806,0.3938162471839362,-53496.252971341804,2425460.549216248
2.6525216415578283,0.06544915711854436,0.246511627760444,0.0012970222732334822,-24946.81267261856,455390.1617528265
0.001,1.076632799377695,1.8115176127937678,1.526533422829705,-53496.17675031112,626904.200045549
0.001,1.0389125931712553,0.3016975079882504,1.473018033117403,-53496.177706824514,649665.2191270555
0.001,0.68956384160619,0.4418547903390138,0.9773564008443586,-53496.1915768825,978800.9384164425
0.001,3.5980060130197744,0.4714909516960297,5.103869888985963,-53496.158369389275,187588.8551028224
0.001,0.30115774644617915,0.276634227940273,0.4262809955907102,-53496.24517921115,2241172.174257324
0.001,1.2144590005955795,1.2887239182792873,1.7220817553738954,-53496.173763886094,555758.3005214287
0.001,1.011105996462633,0.2418402843760323,1.4335602340144213,-53496.17845772479,667532.3685939377
0.001,0.31961246980638097,0.7266004141485753,0.4524630393697887,-53496.23972421781,2111766.6682925466
0.001,0.9851662156234516,0.8461355409160832,1.3967614710895282,-53496.17919632622,685108.2009734869
2.5318042192425447,0.05383067911141178,0.2650317250685718,0.001,-24990.267389103945,452590.6790918197
4.798538647279525,0.034290995102650074,0.1629835168018387,0.001,-24355.15767051703,471317.54449811287
0.001,0.8604115181093338,0.7638806270313969,1.2197697410716268,-53496.183386252844,784443.2381184973
2.687039428491467,0.050133955226452115,0.2249733169997434,0.0010075587376020688,-24771.468973461713,462910.74406271335
0.001,1.7192789489179177,1.5198988342898494,2.438295197941874,-53496.16693992143,392575.9158415279
2.81669578019851,0.04769361879347396,0.2192028103468306,0.001,-24648.655437531706,462286.57265916135
0.001,2.657558349179012,0.18094666483596616,3.769557789640933,-53496.16113773984,253972.15280864216
0.001,0.5152919563448437,0.907463485675133,0.7300987703383388,-53496.2056089002,1309831.5084160247
0.001,0.32848525165549375,0.25013982462893675,0.46505303263357517,-53496.23732225083,2054724.0527696486
0.001,0.5799676824267187,1.3725965227453125,0.8218627285472176,-53496.19940735672,1163763.711039312
6.452461567235096,0.030934713961221678,0.1532648053815905,0.001,-24330.40270068741,472576.2690794509
0.001,0.8250234332697377,0.3057467962383753,1.1695487414080308,-53496.18479424171,818092.5789987176
0.001,0.4780188498398037,0.393084332258122,0.6772152966905681,-53496.209955008555,1411964.5449843523
0.001,0.5077141515049226,0.5854861566695813,0.7193469635576774,-53496.20644026187,1329381.3402200784
0.001,1.0658626110610043,1.0451712524952264,1.5112535464094354,-53496.177016465896,633238.7671967206
2.7189755285830506,0.049193684268896684,0.21941866939057852,0.001,-24739.172331162743,464355.9434598733
0.001,1.4997294987440626,2.4180339324874622,2.126821347942478,-53496.16933366528,450045.1445508882
3.054536909649076,0.04470701306546294,0.19781446850810244,0.001,-24544.942392976795,466928.5930962182
0.001,1.5684701153004648,0.1991537663344947,2.2243549967092813,-53496.16850763203,430321.03661085974
0.001,0.38381626557028586,1.1669825800758855,0.5435601499136933,-53496.2247603727,1758512.3077191121
0.001,5.9858405013150024,0.5042121010479871,8.491743754341057,-53496.155252601515,112757.06596616755
3.791735903477483,0.038314434354933716,0.18070459937768696,0.001,-24408.99443705767,467533.88975296513
3.9432640929113827,0.03723344560758627,0.18780922091091998,0.0010071227204120653,-24495.553319638624,463258.4240158862
0.001,1.177932264781473,1.6591623515152483,1.6702596446962839,-53496.17448701928,572991.738997049
0.001,2.5223917381615433,1.5264258778184332,3.577787881389819,-53496.16170571372,267581.5874737396
