nuExp,nuBot,nuCur,T1,T2,F,LogLik,theta
8.994063973972354,0.32561114078136716,1.5804511056712862,0.07586384957992366,0.9400222481060602,0.4469100970471271,-13616.126858768912,598487.9276329782
2.8497945338013255,0.12656604230508933,1.11347742281397,1.6525754224526144,2.1743594691594863,0.5146366533265696,-7599.715567733103,786001.8797675652
1.670989311279452,0.8742801687635983,2.3982037635738442,0.010431633423615628,1.7307681733870486,0.5523926976539876,-5456.431134294864,371609.9688662869
0.6105091634124435,0.413600249061379,1.6060817771191593,0.2171221360194901,0.9044271105349967,0.5687606794636408,-4720.7185499716725,594513.7188417247
5.635075916017827,1.9701430016749695,3.7025635470896225,1.2690981564584298,1.756907357054437,0.29758492671125947,-27799.001408001364,219140.644171473
0.7194600817440783,0.5956106932830761,1.8586829746269886,0.34971049059138926,0.8753175290390072,0.568452017057192,-4717.401806359179,513704.47880752606
1.286289205578021,0.2770958721365357,1.4128912919840262,0.8311145166335118,1.017712056168358,0.5562746431174939,-4820.995865445584,667060.2008747782
4.892558397210834,0.20671513501470118,1.596800966523563,4.005306960898974,1.3745480946653463,0.5683325119141924,-4721.836849686122,596622.4574262148
0.4391937480244617,0.6154708269164239,1.987887907202099,0.010245161418395458,1.1562313409176825,0.5597164368066503,-4824.353318312875,467237.92870582594
0.9753720254269767,0.9322873874737585,2.196853283155682,0.5682945949685284,0.7605614557517066,0.5690661104272513,-4700.411785304357,435926.3942978274
0.1288479094098298,0.048676682625980724,0.2807239227297456,0.6348453975916651,0.6891035836715291,0.31961740621569606,-24179.632729593868,2775203.6299697803
0.022941203186453183,0.05043720173484896,0.2585848687964186,0.03265019836533727,0.2229837625021419,0.5714196088715888,-5091.125845138042,3539742.2998337895
2.9235873355384867,1.2941074609223935,1.8264001814133577,0.010019893587923849,0.711105476174223,0.4175021050718349,-15152.327894559392,436097.13758515724
0.056499817478871395,0.010754375446892988,0.09292221846052394,0.06345266564272277,0.09666437815242475,0.5673948606169599,-4781.633442559803,10056896.269041028
0.014396584667766743,0.09083036461792268,0.11639784030287813,0.04960972845659132,0.08860661738622778,0.3776661079140699,-18334.069401346947,6522360.753586144
