nuExp,nuBot,nuCur,T1,T2,LogLik,theta
7.519833540355117,0.16402695020377064,0.5020725806716396,0.14071651951219405,1.4829284016271513,-57660.10438141883,1350944.2968394624
4.874763579546596,0.036930034574135184,0.759809092988298,6.477207095736003,5.138625762184439,-56814.35328472356,916773.526224762
2.9966141802491415,0.03759578232798215,0.2619723472093235,0.01168012330275737,1.132416520778662,-56814.621462207084,2660479.719422457
8.419531590920569,0.17843731994331574,0.7982666616082164,0.010130923309701318,2.6807605848362104,-56826.24908703535,872075.6137169539
0.8565386538768004,0.020540477792267645,0.11395948312481877,0.010169052896030551,0.4016914053707701,-56918.07908816368,6178147.889643595
8.782922592326724,0.15641504057298758,0.5937824690342635,0.1829083347594908,1.89230400959248,-56958.14390464968,1161413.339127758
0.7181845784489248,0.16757791355919202,0.6345549546556645,2.0369259645946562,1.9700428233077838,-56886.59544570562,1090740.5303349786
0.010577097522028683,0.7173356397792904,0.6086116410872034,0.021342632225576606,0.6678576682024799,-52671.29567313139,1095083.5999869604
9.942465178240557,0.1438083427487732,0.5244332511363289,0.021053130956714086,1.7973125535452832,-57259.301722732955,1298953.9204664226
9.869495888263854,0.15646099055013432,0.5529776657247882,0.38446016963559804,1.6689537277625872,-57083.81853232038,1244484.8635580323
1.9543711726692818,0.06154641585433508,0.27095476636405935,0.011129261414234006,1.0947401206844103,-57317.18088857645,2507649.7717386824
9.6411843606444,0.1475843238702043,0.4955324458527293,0.03497597290248659,1.7898462676019247,-57898.43951127789,1355942.2572128607
8.491984200547904,0.09447409889006365,0.44310952913489204,0.012832444653333289,1.5395621804532358,-56829.13094383309,1570356.440491616
0.8451280806810012,0.23193694232976167,0.4724175174579616,0.6037713513056511,2.950490125952957,-68388.64545771707,1305265.6224962818
0.1471629896401017,0.02546618773182334,0.1263072480426607,0.010122785622480576,0.45110596420757815,-56842.32005848123,5512741.209125887
0.40073165959405355,0.07287873882636835,0.3686365882784137,0.01667470502125991,1.344039568906204,-56822.29164552159,1887823.430976489
2.515587342438331,0.01205477355373054,0.13726929334219154,0.022367448688673096,0.818088612359708,-56924.86011642541,5015495.845820411
2.868464977075638,1.2650080895458458,2.057595843953609,0.03671285568611272,6.661426395968659,-65316.93364377,304903.52965036174
3.219385208920898,0.04055699761889864,0.20506191283161404,0.41423944542404806,0.7353104580937057,-56834.197208163576,3399847.204119437
0.11764853322272285,0.025568831808807948,0.17301277202175067,0.03278795410777384,0.7419594904328206,-56814.850846534115,4024570.0587791805
4.734770592218293,0.12275610782320784,0.5486320370698077,0.03217807214120343,1.8003810024467162,-56838.106734084664,1272292.1760565334
2.653237540210694,0.03873661755568915,0.26862979459841174,0.3021700160958865,1.1572491065056274,-56814.75427360165,2594859.9078512513
9.62249469442698,0.09240151075919394,0.3700290612732144,0.13192299985404707,1.172093080904188,-56913.95444856075,1873547.7973187703
0.030518606820741548,0.010053484470770526,0.03572338702129788,0.34316391240950084,0.09863746704479039,-56875.319034223096,19535766.658493202
2.5875437681559217,0.11576003794993754,0.5349987618377021,0.1381902770587511,1.846699071167388,-56830.01094915479,1300123.236386506
4.323280066127556,0.04675044831604798,0.16082133196074308,0.011219934395365524,0.6443055983708106,-58535.10765391703,4138349.1220460082
0.018761003377613526,0.13877534197591537,0.3325500493779586,8.236569338290778,0.7137801793936759,-56577.40069843184,2083993.7616101434
0.43589996922168267,8.582640915733208,1.283584806569056,0.03813643168303218,0.522654578449957,-42906.78323732919,395451.1866067832
0.013291210969983825,0.1182778912255817,0.3909430372426748,5.704968374488041,1.3130652903409896,-57420.65813842937,1732729.2357258815
3.3195427365071297,0.26758629500109143,0.4427464717367196,0.010504110917611357,2.3924107379081327,-70555.58639029729,1377818.8623425975
4.493236416967731,0.01000803663822424,0.12884154787109878,0.0547370893727798,0.7260289232381534,-56816.553903295266,5416421.864377637
0.4739124926515568,4.817367088024628,3.4563790203482245,9.418151553562575,4.502574835353038,-52598.70895098832,186347.08369412716
6.761277985938516,0.08589670181458327,0.48310604340058066,0.16943554432856334,1.7701690690378624,-56853.2679971216,1451902.382056452
0.054893349944166836,0.010974721651444566,0.05586667243793615,0.4045989521076771,0.23511804172780806,-57084.64959268227,12241580.910069622
0.13491972516253845,0.5191679626358762,1.2796284633643469,0.7612338407865853,2.486531745798239,-56720.711903444506,551051.6556650366
0.35522824106664885,9.12922860113415,0.960699429243453,0.09323788173490326,0.32778018571461603,-39286.302994246056,494331.6853507792
0.023269724212157568,0.011916481977189208,0.06096044039183298,0.16585665614703007,0.22474536345308993,-56816.55307883746,11411707.094886003
0.011599045279361899,0.04358038411793698,0.19478463988157982,0.07835557797584933,0.6623933447553009,-56816.56192073603,3569038.4043555707
0.03461131180273645,0.014036196977558603,0.06888616364061563,1.1647304473500142,0.3106244421089063,-57491.05290693778,9820944.881250953
0.15190841119592993,0.011710564291510671,0.051927744663279596,1.2336459852265749,0.1687687291014854,-56855.74239507996,13443434.430944856
3.4130729656342744,0.15465242813044144,0.5200534314126358,1.0652190911197468,3.751925696647902,-64261.18049852362,1214857.2837212135
5.380271263846279,0.070582666368732,0.32423763487702506,0.03482622295628099,1.134969256070477,-56848.790586168776,2139834.397590721
0.04446028430599368,3.952464734219474,2.686369638313444,0.01976857061124044,2.7963259962598883,-51661.631481946315,242820.75890680088
