Sim,F_true,Nu0_true,Nu0_est,T_true,T_est,Theta,Loglik
1,0.2,0.1,0.08989308843372437,0.1,0.0803025087825417,9776.544220716307,-232.4652388428675
2,0.2,0.1,0.0853353644117436,0.1,0.08066245867064561,9774.886738251475,-223.52709153538092
3,0.2,0.1,0.09717869409383131,0.1,0.08631308268928359,9666.79054796989,-230.35804287552799
4,0.2,0.1,0.08908565858505052,0.1,0.08142387497816853,9805.59498347059,-232.12721773381145
5,0.2,0.1,0.09132629158617812,0.1,0.08486847065650678,9868.656902376353,-230.23281320217382
6,0.2,0.1,0.09021535976562593,0.1,0.0881732521223636,9744.707816748041,-231.66021033264428
7,0.2,0.1,0.09562154553956836,0.1,0.08281396390744246,9626.56789207976,-236.19123264320467
8,0.2,0.1,0.09915456096338637,0.1,0.08086142140466811,9492.3759188699,-228.93400139328241
9,0.2,0.1,0.10407543457808985,0.1,0.09074756584062083,9576.786890326546,-231.85397985364853
10,0.2,0.1,0.09187730704097595,0.1,0.08092761135216708,9659.232785445762,-235.12694553665938
11,0.2,0.1,0.09472105553315445,0.1,0.08283983913788698,9622.924109314477,-231.6866843395121
12,0.2,0.1,0.09622542853465131,0.1,0.08154371640533865,9609.95188236289,-230.11011611584433
13,0.2,0.1,0.08814090810397689,0.1,0.08342109226906981,9954.287611989192,-231.72766846641628
14,0.2,0.1,0.09254436712094181,0.1,0.08000671462911878,9590.614003771025,-233.01900456702265
15,0.2,0.1,0.09165558460299168,0.1,0.07666417527046811,9610.9690760859,-231.21568713705062
16,0.2,0.1,0.08995439593531453,0.1,0.07639355910252209,9661.185717351838,-229.585785843929
17,0.2,0.1,0.09787703921292834,0.1,0.08303308729937826,9559.36112843582,-231.20430114239252
18,0.2,0.1,0.10092385261907064,0.1,0.08890052120915067,9647.395038127997,-231.05030560016087
19,0.2,0.1,0.09406888105221275,0.1,0.08119779773966679,9596.632482749108,-228.90211637587436
20,0.2,0.1,0.09452442677003565,0.1,0.0814565446842628,9537.504622601551,-236.00369485007843
1,0.2,0.1,0.12348765863428515,0.2,0.19172037670764527,9026.616120191447,-229.86894586186008
2,0.2,0.1,0.12386284842492849,0.2,0.20159391535649854,9182.34719916521,-220.91283752055813
3,0.2,0.1,0.1475780496173454,0.2,0.20769382897956057,8550.122049230911,-231.13568657315705
4,0.2,0.1,0.12303287114128136,0.2,0.18294184820558432,8967.24178285142,-224.5197816874545
5,0.2,0.1,0.11595951258062633,0.2,0.1767614341964128,9092.894858736725,-223.99108511669465
6,0.2,0.1,0.13001196731809145,0.2,0.19885451063449372,8940.740162513403,-231.5533064749934
7,0.2,0.1,0.12796820295552275,0.2,0.19923875736926858,8975.533205659556,-226.35905330911373
8,0.2,0.1,0.14189027326628215,0.2,0.2083516829189548,8840.325557277574,-224.52617872335884
9,0.2,0.1,0.12453543228838979,0.2,0.19076634012548555,8989.04164591937,-227.72760817740004
10,0.2,0.1,0.12670168808838259,0.2,0.2102515443721635,9100.099010122443,-220.2880293975005
11,0.2,0.1,0.13506867798435357,0.2,0.1919977723940577,8772.876194050716,-227.96556374913268
12,0.2,0.1,0.14134006082123804,0.2,0.19820776791180875,8726.581452408664,-223.42661070115832
13,0.2,0.1,0.11675554050840933,0.2,0.1909602394369301,9209.553907906537,-222.93942612847525
14,0.2,0.1,0.13951255394090065,0.2,0.20199536462297962,8862.707520880555,-229.60940735362976
15,0.2,0.1,0.12753919488743465,0.2,0.18852432444805478,8940.884551520263,-221.61018194075075
16,0.2,0.1,0.1405572034258983,0.2,0.20422769122689008,8780.238756727742,-226.43962465311188
17,0.2,0.1,0.12489544881119838,0.2,0.19388836517451177,9037.769010713142,-226.20295188719672
18,0.2,0.1,0.1278296068219663,0.2,0.2006232691552157,8935.782949223574,-221.39257952355524
19,0.2,0.1,0.13624576814144249,0.2,0.2060276866596816,8814.85844223405,-230.99452538838136
20,0.2,0.1,0.13673445824757038,0.2,0.19379830536506845,8825.685282098202,-225.13258218472595
1,0.2,0.1,0.174208568731155,0.3,0.35561927700385165,8288.080591551256,-218.71456620629
2,0.2,0.1,0.15136400721781035,0.3,0.3421209914620058,8432.058140967154,-217.67037900683522
3,0.2,0.1,0.12834489026604884,0.3,0.3235724407498319,8945.85103219631,-219.62514762119042
4,0.2,0.1,0.14717662753716607,0.3,0.3525216900971706,8605.634724771744,-217.22121848892834
5,0.2,0.1,0.17556321795205632,0.3,0.3563265810431234,8196.334452075358,-220.6366075161011
6,0.2,0.1,0.16676615811243073,0.3,0.3591083468154107,8393.203050358368,-219.0906365495041
7,0.2,0.1,0.14955795510041922,0.3,0.3298510764628616,8580.550391949637,-219.51944060913627
8,0.2,0.1,0.19137302024967834,0.3,0.3705467352246577,7950.927585640484,-215.24329832820092
9,0.2,0.1,0.1574315745367018,0.3,0.3523369024814693,8523.758586551001,-215.9046708934095
