Sim,F_true,Nu2_true,Nu2_est,T_true,T_est,M21_true,M21_est,Theta,Loglik
1,0.4,0.1,0.0910272183593428,0.1,0.08743858105595004,0.5,0.33708198112924975,10003.160447526932,-5489.695210285567
2,0.4,0.1,0.09674932283339419,0.1,0.09596544083029432,0.5,0.38168230878947185,9971.6591974592,-5481.029260240217
3,0.4,0.1,0.09424072239119904,0.1,0.09415131509519095,0.5,0.43970131665179246,10053.343550233472,-5499.764796495026
4,0.4,0.1,0.09981614317839183,0.1,0.09866340722235879,0.5,0.4086759428008749,9979.41571324208,-5489.380013788891
5,0.4,0.1,0.09319106322777347,0.1,0.09145207273145547,0.5,0.37564246135938306,10024.056516684648,-5458.222055757284
6,0.4,0.1,0.08793237180483218,0.1,0.08794915330742327,0.5,0.43275222781715533,10020.400088812657,-5453.1930083551615
7,0.4,0.1,0.09614175967439538,0.1,0.09184493290875016,0.5,0.3067345185867029,9990.018959304338,-5469.288306098474
8,0.4,0.1,0.09411606599292138,0.1,0.09170552692737831,0.5,0.40179587439159803,10096.313306538825,-5494.18319736418
9,0.4,0.1,0.09354656186209667,0.1,0.0945607564607193,0.5,0.37786304686301303,9961.107154492189,-5477.849386794625
10,0.4,0.1,0.09324259310791905,0.1,0.09148159459755215,0.5,0.37066780562346596,10031.001495523486,-5467.619538839135
11,0.4,0.1,0.08968680603740396,0.1,0.08744054697102102,0.5,0.41093934363580326,10048.458444968895,-5513.905184685285
12,0.4,0.1,0.09673982777432664,0.1,0.09190576109622334,0.5,0.2233405924896171,9971.031272015292,-5475.746017690877
13,0.4,0.1,0.08844330251351512,0.1,0.08539346568860934,0.5,0.39373181178894734,10042.749201799645,-5486.993042248553
14,0.4,0.1,0.09665136157389025,0.1,0.0941700192758426,0.5,0.36012958735962464,10025.186546199364,-5491.609656580607
15,0.4,0.1,0.0903706089159358,0.1,0.08985798636002555,0.5,0.3543449661996375,10004.725711000528,-5447.8845882213
16,0.4,0.1,0.09657321137827403,0.1,0.09322662657522028,0.5,0.302016759492091,10046.509235699203,-5483.387630625432
17,0.4,0.1,0.08785832995606539,0.1,0.08509802860237348,0.5,0.3271628925495223,10081.68640426124,-5488.82644868052
18,0.4,0.1,0.09360918669483187,0.1,0.09366445339461107,0.5,0.43278002007193084,10039.734953679977,-5501.095023503882
