Sim,F_true,Nu0_true,Nu0_est,T_true,T_est,Theta,Loglik
1,0.3,0.1,0.09006566021496182,0.1,0.07376938623266817,9470.134378637948,-269.0692955644191
2,0.3,0.1,0.10019893837888297,0.1,0.0775313004826099,9250.533752404435,-269.4758062475198
3,0.3,0.1,0.08648547522112278,0.1,0.07351214184238007,9529.949432886266,-268.8196160547724
4,0.3,0.1,0.0889539959495996,0.1,0.07490885989627555,9503.235332626566,-275.16903645526565
5,0.3,0.1,0.08449507331499093,0.1,0.07676031135277965,9730.573311167642,-273.51853700106324
6,0.3,0.1,0.09029573097141086,0.1,0.06993558525506077,9308.95687465206,-270.61272724767673
7,0.3,0.1,0.08494422103763295,0.1,0.06161746088963648,9245.925144895113,-273.5343216589479
8,0.3,0.1,0.08416833255853028,0.1,0.07383019933821942,9624.665025349617,-263.8989929006141
9,0.3,0.1,0.0900321940278632,0.1,0.07092312508900003,9345.489087578442,-276.918430701377
10,0.3,0.1,0.09554040439535354,0.1,0.07569163405349179,9359.038966532542,-275.62305561871324
11,0.3,0.1,0.08410688840901427,0.1,0.07497980200570313,9679.246154623406,-270.920574461588
12,0.3,0.1,0.08851779739631047,0.1,0.07174131247928432,9453.118710821767,-267.92773661342324
13,0.3,0.1,0.09328008004301357,0.1,0.07658148540606889,9454.700997416006,-273.2561979198691
14,0.3,0.1,0.08735314099258527,0.1,0.06855925981355233,9380.330174009545,-267.773989831382
15,0.3,0.1,0.08467677506529503,0.1,0.0743222162603646,9649.63519219342,-270.34965289526895
16,0.3,0.1,0.10041824441224732,0.1,0.07411623165315841,9279.79164018559,-269.34537007985284
17,0.3,0.1,0.08408340944235432,0.1,0.06853059652749234,9586.507249888842,-261.8285964148913
18,0.3,0.1,0.08796761220887823,0.1,0.07451695544562696,9433.88867694869,-276.30672901983576
19,0.3,0.1,0.09318813460519537,0.1,0.06891656208709894,9270.286997784035,-260.67712502944175
20,0.3,0.1,0.09934152916809906,0.1,0.07473458449134558,9296.984689287892,-266.37734523109054
1,0.3,0.1,0.13992327118513315,0.2,0.18303197410227134,8599.983802198709,-281.5044708924879
2,0.3,0.1,0.1499132398737325,0.2,0.18364168973800207,8313.285797422903,-276.44909537522403
3,0.3,0.1,0.13940223921002665,0.2,0.1855190235565586,8574.113520672077,-279.6445495966093
4,0.3,0.1,0.13183345871393798,0.2,0.1831739644743394,8598.451202982773,-265.316000973761
5,0.3,0.1,0.15422352820728505,0.2,0.1929047288575695,8354.289433041828,-279.1285882964985
6,0.3,0.1,0.14694699474731787,0.2,0.1849743244347068,8486.857649731815,-275.97507668503306
7,0.3,0.1,0.14921363243865104,0.2,0.19672594205876642,8510.54724616177,-261.7927384234953
8,0.3,0.1,0.14965300239719956,0.2,0.19570348091374462,8433.98195244884,-264.26308290420627
9,0.3,0.1,0.11898957386926849,0.2,0.17111735053326432,8820.852373129223,-280.37364791465836
10,0.3,0.1,0.15675711214350302,0.2,0.19142545600868663,8288.034330571558,-283.4220681239939
11,0.3,0.1,0.1460592946450508,0.2,0.19452883909788432,8457.796165931979,-279.04416625171996
12,0.3,0.1,0.1358122303080815,0.2,0.1907367825994937,8679.167903786016,-273.9812298416846
13,0.3,0.1,0.1615887309505264,0.2,0.18641265944189028,8208.822770667144,-278.6458701404083
14,0.3,0.1,0.1428416849737747,0.2,0.18484081457129586,8448.127438466825,-276.6902188656319
15,0.3,0.1,0.14314603144465207,0.2,0.18456580664282526,8579.242168936868,-273.3777786313467
16,0.3,0.1,0.12827633336720592,0.2,0.19281248307740972,8734.862695993555,-275.10699922881906
17,0.3,0.1,0.14585475104211768,0.2,0.1885692125939951,8471.608659318621,-271.76723451463727
18,0.3,0.1,0.14436911774395714,0.2,0.19324652680772264,8557.509058177264,-271.9260939278861
19,0.3,0.1,0.1532267369604218,0.2,0.17750141747370513,8282.350459951705,-276.197127158639
20,0.3,0.1,0.14297400324171805,0.2,0.1994578295892766,8685.713039411125,-274.34092500141276
1,0.3,0.1,0.1783994159698777,0.3,0.3508855674625103,8047.222011767958,-260.19243670599235
2,0.3,0.1,0.1633454327122045,0.3,0.31266382984129826,8134.6002726351135,-250.32536524370062
3,0.3,0.1,0.2370026498402627,0.3,0.39962510282616104,7475.5572372281795,-247.08422038543097
4,0.3,0.1,0.22941306917525803,0.3,0.39227648214557936,7603.031327915211,-254.04760757294605
5,0.3,0.1,0.20201863304900028,0.3,0.3652982199360811,7824.747081048335,-255.9082995700844
6,0.3,0.1,0.19867434334537734,0.3,0.35554062534641145,7814.284117493132,-256.479648812296
7,0.3,0.1,0.23714905108948045,0.3,0.38944726586355766,7431.704747195204,-259.83074300175474
8,0.3,0.1,0.2014414075718828,0.3,0.3473537160096687,7784.912099711908,-257.58242573336986
9,0.3,0.1,0.1923587113254616,0.3,0.3316108053215365,7798.794538206103,-262.4275180548158
10,0.3,0.1,0.1737146060257285,0.3,0.35044598366258123,8074.40479829259,-258.4117666569555
11,0.3,0.1,0.21633887657240047,0.3,0.37767975653718117,7545.094201463219,-255.49541554356767
12,0.3,0.1,0.24664596901775238,0.3,0.38538677352328643,7318.000625203622,-252.88416231773078
13,0.3,0.1,0.21346623778204013,0.3,0.3596951150346418,7668.146272008215,-256.9348709712293
14,0.3,0.1,0.18924820452714824,0.3,0.33651363327683403,7773.288704448687,-262.73225174860363
15,0.3,0.1,0.2049559296805163,0.3,0.35006906751519645,7739.671129044259,-252.09179517124346
16,0.3,0.1,0.20817325280625393,0.3,0.3603012295820297,7686.809969533176,-250.56326348813025
17,0.3,0.1,0.20623754194657723,0.3,0.3806126619058038,7751.224664091087,-250.85609481663653
18,0.3,0.1,0.17186938618865855,0.3,0.33097132114319683,8041.640855999966,-247.17450170264476
19,0.3,0.1,0.21750511784159243,0.3,0.36629099968463025,7617.830185882603,-256.32051784458326
20,0.3,0.1,0.19300424150202258,0.3,0.3656904383908541,7884.708757738046,-251.6718106274394
1,0.3,0.25,0.16461809409046757,0.1,0.050379320903367775,9729.172569424745,-264.9930236488078
2,0.3,0.25,0.17763669551919029,0.1,0.05229728654917064,9666.401908559254,-256.69277059320507
3,0.3,0.25,0.17466466647508927,0.1,0.052448475459640334,9702.60848041916,-254.41455989997644
4,0.3,0.25,0.18111645292953713,0.1,0.053963774799002606,9699.886268599013,-253.9873889242706
5,0.3,0.25,0.1437748322086855,0.1,0.03328063719395524,9445.797661277764,-258.7899223645883
6,0.3,0.25,0.1663691685733374,0.1,0.05130431569139867,9712.771288380793,-259.2107423893108
7,0.3,0.25,0.1502715471123606,0.1,0.035498871428439084,9542.50393293952,-251.70460900410058
8,0.3,0.25,0.16338906468995626,0.1,0.04733528673269846,9680.76347644157,-249.89907216279516
9,0.3,0.25,0.1516507212957654,0.1,0.035888550729992204,9515.401195214607,-261.5601999099839
10,0.3,0.25,0.16692111253106556,0.1,0.04406459657218863,9567.091247442619,-255.7727145960299
11,0.3,0.25,0.17249364877653806,0.1,0.045765862359816833,9553.51547644647,-258.89202379710264
12,0.3,0.25,0.18164450220419143,0.1,0.04773220786433092,9598.674651382218,-253.0525820964723
13,0.3,0.25,0.18616782459056178,0.1,0.05806586233935134,9716.59972115201,-250.97060517783086
14,0.3,0.25,0.17115990480199333,0.1,0.0534061945475102,9783.560735710851,-251.71095164855967
15,0.3,0.25,0.1692715987964565,0.1,0.04760668661978119,9677.58009412303,-262.7670637627825
16,0.3,0.25,0.15513924937562437,0.1,0.0513831315661084,9813.257099712555,-249.02360356473423
17,0.3,0.25,0.17058540677271467,0.1,0.0459052151147369,9592.785907909272,-261.132219670038
18,0.3,0.25,0.150444822244973,0.1,0.037042100303796746,9524.972815585905,-253.77496496342178
19,0.3,0.25,0.16713338537065273,0.1,0.04575298580898159,9652.171450221545,-258.523155108527
20,0.3,0.25,0.16477192623178336,0.1,0.04833802507672733,9684.826939088236,-247.88015078986916
1,0.3,0.25,0.24014783739377316,0.2,0.1475372091920305,9519.930498070782,-278.2912763187778
2,0.3,0.25,0.23680266768192876,0.2,0.11713897618137846,9317.605570418698,-292.38445848769186
3,0.3,0.25,4.583277944805642,0.2,3.3009699647266366,5585.570007220851,-271.52718717732944
4,0.3,0.25,6.689502488327997,0.2,9.847581992489273,6256.522546905224,-246.8888116378189
5,0.3,0.25,0.25267802490459074,0.2,0.13354090303094002,9262.083250275664,-283.2032592589684
6,0.3,0.25,2.837340307923677,0.2,5.088732653841269,6398.8089986689865,-250.5141239036327
7,0.3,0.25,0.2629362453610536,0.2,0.12693429869797185,9259.698653138748,-288.2273637215286
8,0.3,0.25,0.25711882019527366,0.2,0.13139174631073697,9192.350080469982,-282.7675934466414
9,0.3,0.25,0.2586209981100089,0.2,0.1466565088845494,9397.466520506707,-286.67906578494535
10,0.3,0.25,0.2570263217935157,0.2,0.11512422517679392,8999.155950695515,-280.55005597372747
11,0.3,0.25,0.25137691341237567,0.2,0.14790626852673275,9465.015922388395,-274.35919483275825
12,0.3,0.25,0.2348477348996579,0.2,0.12403604547322973,9383.057925753343,-286.62306184359977
13,0.3,0.25,3.766511862146552,0.2,6.38777439648026,6268.7272020288165,-264.8913641246039
14,0.3,0.25,0.27410006488609573,0.2,0.12391384889200205,9087.905001639023,-283.9603351131311
15,0.3,0.25,0.2578327003888722,0.2,0.12271415206837441,9186.503187862421,-285.9370980009404
16,0.3,0.25,5.18661351288036,0.2,8.340158495232107,6273.5189458821815,-265.5592542606237
17,0.3,0.25,0.26919247722575257,0.2,0.13330157411389873,9197.634933313733,-286.48399002987344
