Sim,F_true,F_est,Theta,Loglik
1,0.25,0.19284559,7786.853728443964,-290.59367956321125
2,0.25,0.11311418,7684.6225252881795,-248.77534594524866
3,0.25,0.16632974,7760.058612200339,-294.70724024165827
4,0.25,0.39909488,7739.164009779499,-251.2905122727285
5,0.25,0.31931196,7561.191748361809,-233.52042263939694
6,0.25,0.38077739,7616.774135532325,-267.63676785285725
7,0.25,0.22083542,7642.955466465144,-295.6893934168721
8,0.25,0.39332571,7813.597004500786,-296.2886526343657
9,0.25,0.29300505,7772.355352564256,-277.0821678972193
10,0.25,0.23212569,7602.874596478981,-264.7290021521618
11,0.25,0.18198497,7773.942808959667,-259.8801337738853
12,0.25,0.22637623,7693.769754137934,-268.8497754340011
13,0.25,0.13294557,7575.657441343916,-237.24167064669223
14,0.25,0.09822009,7421.953604071873,-244.0213466016487
15,0.25,0.25761943,7656.7230979388905,-253.750225766315
16,0.25,0.22633535,7741.030476941434,-271.40572595848346
17,0.25,0.31383286,7503.779754406849,-289.4544058187393
18,0.25,0.22388387,7407.979963591072,-262.7167058969894
19,0.25,0.18771411,7397.653224268485,-245.77202911143615
20,0.25,0.31235237,7672.282701731535,-274.78242882985785
