Sim,F_true,F_est,Nu2_true,Nu2_est,T_true,T_est,M21_true,M21_est,Theta,Loglik
1,0.75,0.7170531690196601,0.25,0.15412454774653753,0.2,0.21750522054359372,1.0,1.0400290118193098,9704.53710125586,-6907.953984933618
2,0.75,0.7305659568840276,0.25,0.10756208792545524,0.2,0.20832701011964755,1.0,1.6164435553555472,9538.968656258212,-7511.9932719897015
3,0.75,0.7585832229086928,0.25,0.12326226452521678,0.2,0.19683577787580697,1.0,0.22782916829517816,9831.360170239253,-6664.673867035126
4,0.75,0.8982818471777396,0.25,0.18400785472215758,0.2,0.14185606303899534,1.0,0.6982108316265996,9575.787413368193,-8435.497079843739
5,0.75,0.7974913260453574,0.25,0.1423990980725536,0.2,0.18198323667835287,1.0,0.5894715241553653,9251.304152668457,-7239.070257615619
6,0.75,0.8255092538375028,0.25,0.13062919776104967,0.2,0.17321632848265028,1.0,0.42117972735549114,9615.399050138669,-7422.719915213884
7,0.75,0.36030332957129674,0.25,0.16641988279836728,0.2,0.19642168989570122,1.0,0.1153321374967883,9537.33199177511,-6971.076717223383
8,0.75,0.6380412039577527,0.25,0.1236523432470085,0.2,0.21148415857875766,1.0,0.4320527087679084,9306.787176952761,-6787.535709749398
9,0.75,0.813115525874579,0.25,0.12789838100700623,0.2,0.3201337007737217,1.0,1.3779611704961132,9449.171358508995,-9063.11450859581
10,0.75,0.5998462240013419,0.25,0.13194463424454775,0.2,0.17497399397865318,1.0,0.4004770019482007,9371.008715436947,-7437.402606555634
11,0.75,0.9486373321425516,0.25,0.14503606775141548,0.2,0.2996850113825619,1.0,2.544904808244494,9216.151547252262,-12085.78962568441
12,0.75,0.49450346510811805,0.25,0.150146275588258,0.2,0.23889435808787507,1.0,0.6546413133468103,9326.480909560516,-6832.273322910027
13,0.75,0.5791819555343194,0.25,0.1538067341520107,0.2,0.23583537728351162,1.0,0.137650210580191,9301.079896178397,-6103.204495225542
14,0.75,0.6033949631542072,0.25,0.16307881381989925,0.2,0.19171299017421928,1.0,0.23272719983035486,9272.552289433208,-7435.947820244232
15,0.75,0.5003829077528485,0.25,0.14282656192262017,0.2,0.15322493919165486,1.0,0.48228503947707607,9577.568037477831,-7731.04773642686
16,0.75,0.6594582906675089,0.25,0.13285667649698216,0.2,0.18098222255344013,1.0,0.25496835333681206,9791.137518617206,-6579.332234221532
17,0.75,0.7506917615895273,0.25,0.16990236368907274,0.2,0.1977488277989829,1.0,0.677679937693881,9406.637939388618,-7132.938102509529
18,0.75,0.7537593697723864,0.25,0.16378166392500107,0.2,0.22869623160316835,1.0,0.6775831127649723,9481.166980840577,-6845.758068545663
19,0.75,0.8379514383393178,0.25,0.14416512641656573,0.2,0.21855959462120678,1.0,5.271215370097496,9601.118400413512,-9317.0996590256
20,0.75,0.045238455313011794,0.25,0.1163220283569416,0.2,0.30434527641095765,1.0,1.7903528817895926,9477.425030851082,-11919.013141344869
