Sim,F_true,F_est,Nu2_true,Nu2_est,T_true,T_est,M21_true,M21_est,Theta,Loglik
1,0.25,0.14885042471136228,0.25,0.17205739259911024,0.2,0.25751464357344295,1.0,1.2217043745205027,9686.733539452302,-6989.010202912654
2,0.25,0.1681722408091468,0.25,0.2114387534490903,0.2,0.21782322157257297,1.0,0.568562188911972,9487.905717139138,-6769.3910032915755
3,0.25,0.36082587161618057,0.25,0.20445183724908816,0.2,0.2313634201473144,1.0,0.9394618957061477,9542.686488390345,-7064.903340604708
4,0.25,0.09219777672089224,0.25,0.1763738609266223,0.2,0.28998228983986074,1.0,2.071555960996828,9742.299848955005,-7836.732904776847
5,0.25,0.43635615240173004,0.25,0.2045549425902382,0.2,0.1995755835224154,1.0,0.332509403299918,9410.205774491229,-6675.899743680118
6,0.25,0.38798547673411216,0.25,0.2183084274992992,0.2,0.19792633535738863,1.0,0.1781101637553586,9440.859942813706,-6643.761063445352
7,0.25,0.24518716388673134,0.25,0.21636600966414446,0.2,0.21496342517443046,1.0,0.20933700396583022,9380.540757152883,-6652.736193668339
8,0.25,0.6241063587783687,0.25,0.21490400933791903,0.2,0.22108761176824052,1.0,0.8878813962709097,9561.57229506866,-6954.181156518167
9,0.25,0.35337191118016553,0.25,0.20060967825806197,0.2,0.1895513360014856,1.0,0.38934417797338233,9469.907781494932,-6831.417685479235
10,0.25,0.1452832761188616,0.25,0.17355019950694278,0.2,0.27129553975253967,1.0,2.114430679222639,9608.771512612751,-7186.936785416388
11,0.25,0.1224684256589508,0.25,0.17198292821468855,0.2,0.32511865873558843,1.0,2.9260738477955135,9511.241881164504,-7429.381984251442
12,0.25,0.18033591431052975,0.25,0.1885862039472941,0.2,0.21621949911790034,1.0,1.0766791202474901,9574.939953523306,-6803.003541480788
13,0.25,0.30617268223423666,0.25,0.23481060998060682,0.2,0.1877389332637868,1.0,0.858152916521976,9513.96936234543,-7082.009693181548
14,0.25,0.13870969225470822,0.25,0.2201988843028211,0.2,0.20041761043184841,1.0,0.43519945507615154,9423.525376811314,-6651.024656050883
15,0.25,0.3022037863415698,0.25,0.20987073414873986,0.2,0.20636100834713675,1.0,0.39657810504928137,9489.513379646753,-6805.418237762124
16,0.25,0.12050862476469115,0.25,0.1467517938754363,0.2,0.307513209352207,1.0,3.8960088884886384,9963.554848530717,-9182.005093527878
17,0.25,0.09026153428862019,0.25,0.19023259479817223,0.2,0.27448571498440855,1.0,1.7195528405983789,9291.69896723174,-7338.876181929885
18,0.25,0.08589647211053876,0.25,0.18695501567767195,0.2,0.2644841979668445,1.0,1.510833221089897,9623.610935044762,-7073.879068672048
19,0.25,0.3200663502290096,0.25,0.22170890945112207,0.2,0.22833125119113562,1.0,0.669806394129269,9253.49833413139,-6760.968200733661
20,0.25,0.342167066633871,0.25,0.20657651618055284,0.2,0.19862532866509855,1.0,0.8688079321839877,9735.038746057748,-7117.054709573811
