Sim,F_true,F_est,Theta,Loglik
1,0.9,0.92055906,4539.654510258629,-763.9008940312477
2,0.9,0.98575703,4856.494896852859,-627.5542714573771
3,0.9,0.82300816,4942.730928756905,-561.2506139774005
4,0.9,0.89576765,4918.412309523729,-568.0078653464519
5,0.9,0.88683878,5240.423555838262,-631.9861959052912
6,0.9,0.72414413,5621.3201198753495,-697.7619279482844
7,0.9,0.79317022,4499.4804947742505,-841.189454489702
8,0.9,0.96924834,5465.289647861652,-737.709930273571
9,0.9,0.89051313,5070.3879844395715,-748.6404289063178
10,0.9,0.82422149,5240.674703938195,-791.8502043797955
11,0.9,0.74059391,5440.595125358212,-625.1355498022656
12,0.9,0.89407965,5615.165296039104,-826.7426473739157
13,0.9,0.87147303,5101.228646242376,-762.5941572548612
14,0.9,0.81553538,5224.97518320136,-657.884357216896
15,0.9,0.91441629,5346.51070185744,-577.8113605476315
16,0.9,0.92426405,5551.280041149803,-613.0501256123349
17,0.9,0.87308497,5656.6894564843105,-647.4577678673409
18,0.9,0.81799061,5197.31576870865,-617.1753567572291
19,0.9,0.79703393,5131.356356324751,-632.2110001093233
20,0.9,0.79501728,4705.66744517338,-568.1887214267715
