Sim,F_true,F_est,Nu0_true,Nu0_est,T_true,T_est,NuF_true,NuF_est,Theta,Loglik
1,0.25,0.2504809965883711,0.25,0.21938534543758448,0.2,0.24063537400745022,1.0,1.0940766184019148,7612.3845414119605,-239.7020125828834
2,0.25,0.06494255575994916,0.25,0.16837028472550375,0.2,0.40192607932589325,1.0,0.5618068197461398,11886.339657626468,-275.61113578890877
3,0.25,0.20737629628455231,0.25,0.20668290185732482,0.2,0.23761862902255876,1.0,1.0672105922571957,8200.98558584999,-269.34428259861545
4,0.25,0.16334006948613897,0.25,0.2453119731847672,0.2,0.22005607546318703,1.0,1.1497485272380676,7289.702440220155,-295.1651043721881
5,0.25,0.22973880172576583,0.25,0.18463292014467964,0.2,0.1797861000629231,1.0,1.3105819659235054,7715.544571238983,-258.08144642186267
6,0.25,0.36590809227000787,0.25,0.19061983085520154,0.2,0.3447392473960139,1.0,0.8241340160636162,9007.240440287642,-239.1275150559385
7,0.25,0.3054286455785784,0.25,0.24664638448229284,0.2,0.2373286643872859,1.0,0.9083604469646462,7784.889539081098,-281.7424014148523
8,0.25,0.3594721545890038,0.25,0.21299372907334257,0.2,0.18344436082730156,1.0,1.1075370110446792,7724.880351383936,-292.1797113411977
9,0.25,0.07983172439697345,0.25,0.24040354605097747,0.2,0.41617741532981223,1.0,0.6160160760826379,10042.223676173688,-266.7396653290971
10,0.25,0.3481767031051788,0.25,0.20261133860463768,0.2,0.21449202305916032,1.0,0.9681313692723252,8051.6806667895935,-318.6127035422585
11,0.25,0.3211220944986059,0.25,0.2680214273458649,0.2,0.3310630970519774,1.0,0.943139917183099,7991.586727706382,-247.26233186972183
12,0.25,0.12472977331788725,0.25,0.2729325606471682,0.2,0.37747313696906476,1.0,0.7652198082891166,8637.417014506005,-248.98709269063102
13,0.25,0.22225906617653082,0.25,0.21042456491305814,0.2,0.17769872715489027,1.0,1.2778089019047763,7434.055765873921,-244.37570793248534
14,0.25,0.07838284593739908,0.25,0.1928430894094729,0.2,0.16778712893964395,1.0,1.3427501898941854,7569.428317592537,-253.26848517387918
15,0.25,0.3109077349324905,0.25,0.18599636520336532,0.2,0.20515136687300675,1.0,1.1699414733807092,7559.054501997066,-248.7112023640716
16,0.25,0.13071047488981127,0.25,0.24300175590992035,0.2,0.26225544074236073,1.0,1.020719000707681,7519.7278157358605,-297.10741446778127
17,0.25,0.2311158334519706,0.25,0.37070455749620634,0.2,0.41050185907188325,1.0,0.7046547391906901,8303.308285603589,-256.8882462201096
18,0.25,0.1255411069638645,0.25,0.23867349159905163,0.2,0.39089231368050537,1.0,0.6750324342185253,9849.826174888125,-261.6570443449437
19,0.25,0.19390110269510583,0.25,0.15516170861443399,0.2,0.32064348049883173,1.0,0.737759332884736,10231.886389229425,-243.43057954812775
20,0.25,0.2908077811852407,0.25,0.3318963981866448,0.2,0.21863033762320197,1.0,0.988169122583013,7493.656116059586,-253.15813838903796
