Sim,F_true,F_est,Nu0_true,Nu0_est,T_true,T_est,NuF_true,NuF_est,Theta,Loglik
1,0.75,0.8196267677174266,0.25,0.2067587705306962,0.2,0.17150169900375592,1.0,1.7555601487897372,4918.91328905166,-443.5987229130712
2,0.75,0.6719276214918862,0.25,0.14637996242518297,0.2,0.3463119335959548,1.0,0.898231899209917,7374.918035955789,-383.90932253928
3,0.75,0.7621554186909572,0.25,0.3713247761313692,0.2,0.2910951083343796,1.0,1.220496367918659,5388.190941127933,-394.9715468274983
4,0.75,0.688943058489365,0.25,0.11839892662141421,0.2,0.34817031463121517,1.0,0.5188524937840089,8849.792436222035,-495.78268977937773
5,0.75,0.7914705675486385,0.25,0.34850565458128735,0.2,0.43179496814860907,1.0,0.8247784003857238,6336.963258290412,-482.5121164544673
6,0.75,0.8079050553158715,0.25,0.14915234647172038,0.2,0.1843722784165774,1.0,2.5079248523950195,4759.169846801104,-426.1595986237228
7,0.75,0.7394000818844729,0.25,0.22404681788806363,0.2,0.2270673963291551,1.0,1.8347228770897108,4909.70358807916,-437.1886334114856
8,0.75,0.798079754082462,0.25,0.494903409966155,0.2,0.3943404046079188,1.0,0.9085068181277826,4366.084993390066,-427.5564744671699
9,0.75,0.7853287633282058,0.25,0.14385935168150296,0.2,0.40235028682008056,1.0,0.6710061179934493,8021.675408098364,-368.1112389640083
10,0.75,0.7343533597647667,0.25,0.13586995327641355,0.2,0.36974403547532037,1.0,0.6528958120475231,8990.078055233016,-415.66841345696713
11,0.75,0.6764514992995282,0.25,0.1329213262117151,0.2,0.4156346201160513,1.0,0.45884603996989665,9962.020078842603,-356.5129267728779
12,0.75,0.776089374008491,0.25,0.14734594023621772,0.2,0.21328025489305744,1.0,2.040659008328672,5148.330911941062,-490.72759533405355
13,0.75,0.7387144184948921,0.25,0.19398156319579166,0.2,0.22279495461754084,1.0,1.365305333004051,5411.705345249029,-421.23639953352165
14,0.75,0.6969956088258108,0.25,0.22016721781652152,0.2,0.20828549221365494,1.0,1.4551284853974418,4849.071283529317,-297.3378021305003
15,0.75,0.8093246927685913,0.25,0.2288737391934029,0.2,0.4775549692681787,1.0,0.7566828745145137,6708.5494683085735,-401.8863372699044
16,0.75,0.8666251593187132,0.25,0.2217857016255004,0.2,0.22455119683901248,1.0,1.4375677176292905,5073.946480733658,-474.4437447054746
17,0.75,0.5819393776922286,0.25,0.14858223578226237,0.2,0.29604210933664005,1.0,1.131048238102565,6517.205488101495,-538.2583212598399
18,0.75,0.7283304904188933,0.25,0.2314334731605823,0.2,0.35060284177009654,1.0,1.2730735923903596,5002.332951057317,-403.06820661713135
19,0.75,0.6269015626396655,0.25,0.23028481578024634,0.2,0.5247630572734614,1.0,1.0297525242303005,5553.9139916606855,-296.55101426127516
20,0.75,0.6685545742110358,0.25,0.17012177113725796,0.2,0.4045037055061777,1.0,0.7181551295180785,7355.994660932354,-334.8343284222782
