Sim,F_true,F_est,Nu0_true,Nu0_est,T_true,T_est,NuF_true,NuF_est,Theta,Loglik
1,0.9,0.905434112303899,0.25,0.2937989449400321,0.2,0.3966655499230035,1.0,1.254418091565974,3897.4005108845226,-554.916798242568
2,0.9,0.8580905086430737,0.25,0.6940302444384621,0.2,0.2739062473921135,1.0,0.5719970865116228,4925.043827644174,-1068.4648620035885
3,0.9,0.896926470929603,0.25,2.289023882598705,0.2,0.06908836371994195,1.0,0.382985355990697,3751.6182223506685,-1265.1074239150932
4,0.9,0.7927357921374378,0.25,0.27700520638671605,0.2,0.2038353052081992,1.0,2.989945743019977,3425.329622495794,-486.0645384201995
5,0.9,0.7957682940405257,0.25,0.09637695735282273,0.2,0.16198003544261289,1.0,2.682237127529955,5110.612112268588,-774.0266292715602
6,0.9,0.8874051305209486,0.25,0.3583670896095803,0.2,0.3385782866485874,1.0,1.6449910465184372,4061.845029197271,-605.8246848631425
7,0.9,0.9028975390016278,0.25,0.08475661265852791,0.2,0.12167513322878713,1.0,4.638848638793523,4611.332806731744,-761.2637010092303
8,0.9,0.9179714813060426,0.25,0.18235689539679556,0.2,0.13757440978449098,1.0,2.414313202624154,4869.40072215044,-774.5949573165668
9,0.9,0.8449830724072696,0.25,0.22525384728111242,0.2,0.15381138166651315,1.0,1.9598454522827948,4410.799665113513,-864.9983975733135
10,0.9,0.8046244891047412,0.25,0.3430171176372967,0.2,0.453654068943522,1.0,0.9024173054816765,4054.621936405928,-990.3968956221034
11,0.9,0.9007229028292828,0.25,0.29014002799318955,0.2,0.2080599626619112,1.0,0.8109870594042538,5639.437755455041,-1233.2780275307537
12,0.9,0.9367640967974059,0.25,0.2607611335480428,0.2,0.2829889436264207,1.0,1.9832624467175777,4416.003332772459,-843.4481047632712
13,0.9,0.7961619291401065,0.25,0.30002550858280524,0.2,0.19774526514843802,1.0,0.8032775865968367,4457.090495574248,-913.3220016445584
14,0.9,0.8046094280844053,0.25,0.194142723587342,0.2,0.4316283226036255,1.0,0.9625873530016655,4870.239742580628,-703.9853039656109
15,0.9,0.8303347416580517,0.25,0.18745594428386397,0.2,0.3613185101727641,1.0,0.9425135574813346,5631.622854682195,-1028.342316139187
16,0.9,0.8609075750486869,0.25,0.19411652683728667,0.2,0.4672828259067377,1.0,0.64850984564737,7091.67122552921,-893.4874376209219
17,0.9,0.8828381374303498,0.25,0.3866429905431471,0.2,0.37230161506095105,1.0,0.8465178446024391,4910.083972521359,-620.2933747457482
18,0.9,0.7833671344034389,0.25,0.16389935727832403,0.2,0.08640422924891522,1.0,2.258402575005769,4552.389607083742,-915.2382559202118
19,0.9,0.8411899757275846,0.25,0.4134998334311409,0.2,0.29258885967019765,1.0,0.9143871204116144,4926.443026534315,-773.8098827712347
20,0.9,0.8002879734181864,0.25,0.6115499446533765,0.2,0.4190570795623316,1.0,0.9302502442208718,4558.491924271862,-617.6706726055962
