Sim,F_true,F_est,Nu2_true,Nu2_est,T_true,T_est,M21_true,M21_est,Theta,Loglik
1,0.9,0.8919460828007919,0.25,0.13973517297463248,0.2,0.19086872260778706,1.0,0.8241323778393448,9552.339881898402,-8228.846825091581
2,0.9,0.963673424930575,0.25,0.13170092897781174,0.2,0.20896756483304482,1.0,0.5327374571232427,9403.434780520522,-7519.412541144527
3,0.9,0.897791801217869,0.25,0.12059492061811072,0.2,0.19590747382808432,1.0,0.21989619868619184,9752.86506892083,-8157.926680860359
4,0.9,0.3607141620653385,0.25,0.12185265706542807,0.2,0.31723389361612536,1.0,3.026645883221569,9542.573538288596,-10320.614788923649
5,0.9,0.9400911505295768,0.25,0.16737367817050697,0.2,0.20195478721821225,1.0,0.3273096260069651,9622.245774669647,-7097.3176012231
6,0.9,0.7282292831071069,0.25,0.14150862795730448,0.2,0.19711245685142742,1.0,0.47999920406646945,9474.274851220978,-8045.902427706248
7,0.9,0.9210829155223874,0.25,0.11125394548547393,0.2,0.21434053545352913,1.0,0.7745952999933481,9615.254512124877,-6615.9413181247855
8,0.9,0.9829166660507688,0.25,0.13795140975502657,0.2,0.3420822208099442,1.0,3.8543906219668926,9382.929524485717,-10942.24270161978
9,0.9,0.7607016678948887,0.25,0.1714358651160849,0.2,0.16753611594314746,1.0,0.4591536360723693,9674.053195778966,-8420.586303371738
10,0.9,0.8702881611986965,0.25,0.17508231526036488,0.2,0.20724162820148895,1.0,0.5535720488217772,9575.935850428032,-7424.516801326778
11,0.9,0.8965916900423249,0.25,0.14201633693538043,0.2,0.25857989254168795,1.0,0.43227030892822665,9601.122959683753,-7044.65004920188
12,0.9,0.8047819498025881,0.25,0.13331320221916726,0.2,0.14456946345692662,1.0,0.500568486448738,9428.853906427206,-9216.446697319292
13,0.9,0.799569738583126,0.25,0.16528659830477693,0.2,0.22305764748110601,1.0,0.7170751113861352,9469.460865049821,-8069.292849632419
14,0.9,0.9616839309176065,0.25,0.0742777882701058,0.2,0.19203231976205795,1.0,0.32898243953004286,9938.210432472808,-6062.506476018732
15,0.9,0.8935891075848741,0.25,0.13492997482093802,0.2,0.20163427809178164,1.0,0.418377376075939,9542.36452254281,-7291.246005586743
16,0.9,0.9923338302594883,0.25,0.1266189738930115,0.2,0.4036354956518553,1.0,2.66757527526689,9345.221966256639,-12509.984511409342
17,0.9,0.6751289564978133,0.25,0.15523451914776495,0.2,0.1962795664123899,1.0,0.28314895495332576,9583.434394687358,-7949.195419142384
18,0.9,0.6932254740604602,0.25,0.13757419249251748,0.2,0.20649237105329366,1.0,0.5335633204935172,9700.623938418452,-8297.240797103277
19,0.9,0.8391311137571758,0.25,0.11205928395355239,0.2,0.22965472831747966,1.0,0.5956003442091674,9560.294004067737,-7191.209783968265
20,0.9,0.8831564368877065,0.25,0.12452417872565356,0.2,0.175060564062786,1.0,0.3347381982873248,9756.929566222381,-8172.512335257279
