Sim,F_true,F_est,Nu0_true,Nu0_est,T_true,T_est,NuF_true,NuF_est,Theta,Loglik
1,0.1,0.05100182292577683,0.25,0.2428132834444349,0.2,0.19371624847081673,1.0,1.1494297644518991,8486.212135255337,-247.8040062535947
2,0.1,0.21121539509208348,0.25,0.1893537038499422,0.2,0.178316025924886,1.0,1.3529822836209067,8651.3785046814,-281.2585656933891
3,0.1,0.06293869218949295,0.25,0.26953093939002487,0.2,0.36297154773499557,1.0,0.7832305956073805,9828.402817380795,-247.3652096867105
4,0.1,0.24175289461662397,0.25,0.19096434034700047,0.2,0.18440593468474653,1.0,1.257048035061151,8640.652151834585,-245.60735579451102
5,0.1,0.17733817357014336,0.25,0.2153020762975585,0.2,0.18515812832997147,1.0,1.171478739421734,8577.277835181703,-251.45285942983094
6,0.1,0.20793561388969056,0.25,0.18350072332545947,0.2,0.163318941637958,1.0,1.2865585871240723,8460.310744307342,-256.83524311143685
7,0.1,0.07846524235089238,0.25,0.2614646257490079,0.2,0.22802409249810598,1.0,0.9710361511398979,8740.461343485951,-246.1357042678809
8,0.1,0.17131885413221437,0.25,0.18826885176657918,0.2,0.1699398957321961,1.0,1.2268024901466967,8408.455523682434,-284.0707499414775
9,0.1,0.13797910574096098,0.25,0.26089372242602843,0.2,0.27730004417678006,1.0,1.0274261204282786,8687.21707207047,-273.00598321331375
10,0.1,0.0654683926100829,0.25,0.23643775050748064,0.2,0.3072588488886566,1.0,0.7803753005021979,9563.243755584112,-238.21920669867643
11,0.1,0.005699542631234444,0.25,0.28558758697062736,0.2,0.41759273254521073,1.0,0.7225187254813987,9974.024213854036,-276.7772321666647
12,0.1,0.07168875783592091,0.25,0.1970197032289002,0.2,0.1543026606792496,1.0,1.2156519676698598,8640.994177116383,-240.92662004063345
13,0.1,0.23755582072560508,0.25,0.2425342327276398,0.2,0.2757837350102452,1.0,1.0272567326022615,8888.609346774056,-254.09653312304454
14,0.1,0.18921201776212954,0.25,0.1765860824164588,0.2,0.16486734998465405,1.0,1.36218513329824,8687.459291827507,-257.02075365825215
15,0.1,0.12317431293506813,0.25,0.2598410625213578,0.2,0.29809835879216484,1.0,0.9846448789532081,8614.584896912811,-251.83592525865208
16,0.1,0.31903964246602257,0.25,0.19905313028883972,0.2,0.49672093833769987,1.0,0.42761216809414176,15689.043803349115,-265.4359429427217
17,0.1,0.02531262888272795,0.25,0.24638213352128602,0.2,0.21407137876802534,1.0,0.9546987231140707,8731.865461554013,-278.54284267669607
18,0.1,0.060717527999149916,0.25,0.24255352453984708,0.2,0.22083848176257012,1.0,0.9010661818480149,8584.304198928694,-292.160162347981
19,0.1,0.06656415735865696,0.25,0.20646002096868396,0.2,0.22354735580148397,1.0,1.0502433710425212,8993.327361594058,-252.78735705674035
20,0.1,0.17675363402309208,0.25,0.20154632468875452,0.2,0.15217032698807173,1.0,1.4025640676176672,8456.919509045996,-252.37216755545955
